"","மாவட்டம் District","","","","","","","","","KOik","","","","","",""
"","","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","","Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","","Damages","","","",""
"","","Kalawana","Heavy Rain& Flood","2023.06.02","18","61","","","","","18","","","","",""
"","","","Rock Fallen","","1","4","","","","","1","","","","",""
"","","Kiriella","","2023.06.01","","","","","","","","","","","",""
"","","","High Wind","","1","5","","","","","1","","","","",""
"","","","Flood","","4","17","","","","","3","","","","",""
"","රත්නපුර ,uj;jpdGhp","","","","","","","","","","","","","","",""
"","1","Elapatha","Cutting Failure","2023.06.01","3","9","","","","","1","","","","",""
"සබරගමුෙ පලාත","Rathnapura","","","","","","","","","","","","","","",""
"rg;ufKt","","","Heavy Rain& High","","","","","","","","","","","","",""
"","","","","","2","6","","","","","1","","","","",""
"Sabaragamuwa","","","Wind","","","","","","","","","","","","",""
"","","","Lightning & Heavy","","","","","","","","","","","","",""
"","","Kuruwita","","2023.06.01","5","13","","","","","5","","","","",""
"","","","Rain","","","","","","","","","","","","",""
"","","","Cutting Failure &","","","","","","","","","","","","",""
"","","Rathnapura","","2023.06.01","8","33","","","","","7","","","","",""
"","","","HighWind","","","","","","","","","","","","",""
"","","Ayagama","Heavy Rain","2023.06.01","1","1","","","","","1","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","43","149","0","0","0","0","38","0","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","43","149","0","0","0","0","38","0","0","0","0","0"
"","කළුතර","","","","","","","","","","","","","","",""
"","2
fSj;Jiw","Palindanuwara","Land Slide","2023.06.04","3","16","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","",""
"","Kalutara","","","","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","",""
