"Weeraketiya","","2025.05.28","1","4","","","","","1","",""
"Agunakolapelessa","","2025.05.25","1","3","","","","","1","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","16","57","0","0","0","0","16","0","0"
"Balapitiya","High Wind/ Rain","2025.05.31-06.01","3","10","","","","","3","","1"
"Waduraba","High Wind/ Rain","2025.05.31-06.01","5","18","","","","","5","",""
"දකුණු පලාත","","","","","","","","","","",""
"Ambalangoda
njd; khfhzk;","High Wind/ Rain","2025.05.31-06.01","24","101","","","","","24","",""
"Southern","","","","","","","","","","",""
"Imaduwa","High Wind/ Rain","2025.05.31-06.01","8","32","","","","","8","",""
"Waliwitiya Diwithura","High Wind/ Rain","2025.05.31-06.01","15","31","","","","","15","",""
"Akmeemana","High Wind/ Rain","2025.05.31-06.01","2","9","","","","","2","",""
"ගාල්ල","","","","","","","","","","",""
"fhyp          
3
Habaraduwa","High Wind/ Rain","2025.05.31-06.02","6","20","","","","","6","",""
"Galle","","","","","","","","","","",""
"Baddegama","High Wind/ Rain","2025.05.31","54","189","","","","","54","1",""
"Yakkalamulla","High Wind/ Rain","2025.05.31","7","29","","","","","7","",""
"Thawalama","High Wind/ Rain","2025.05.31","1","3","","","","","1","",""
"Nagoda","High Wind/ Rain","2025.05.30-31","65","223","","","","","65","",""
"Rathgama","High Wind/ Rain","2025.05.30","2","8","","","","","2","",""
"Madampagama","High Wind/ Rain","2025.05.31","2","10","","","","","2","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","194","683","0","0","0","0","194","0","1"
