"","","","","","","","","","","","","","","","","","One person died due"
"","","","Gampaha","ගං වතුර","2018.05.20","","","1","","","3","26","","","","",""
"","","","","","","","","","","","","","","","","","to Drowning"
"","","","","","","","","","","","","","","","","","One person died due"
"","","","","දිලේ ගිලීම්","2018.06.01","","","1","","","","","","","","",""
"","","","","","","","","","","","","","","","","","to Drowning"
"","","","Attanagalla","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","One person died due"
"","","","","ගං වතුර","","35","140","1","","","","20","","","","",""
"","","","","","","","","","","","","","","","","","to Drowning"
"","","","","අකුණුගැසීම","","","","","","","","","","","","",""
"","","","","kpd;dy;/ Lightning","","","","","","","","","","","","",""
"","","","","/ ක්ෂණික ජල","","","","","","","","","","","","",""
"","","","Dompe","","","","","","","","2","95","","","","",""
"","","","","ගැලීම්/jpBH","","","","","","","","","","","","",""
"Western/","","","","","","","","","","","","","","","","",""
"","","","","nts;sk;/Flash","","","","","","","","","","","","",""
"Nky;","","","","","2018.05.21","","","","","","","","","","","",""
"","","","","Flood","","","","","","","","","","","","",""
"khfhzk/","","","","","","","","","","","","","","","","",""
"","","","","දැඩි වර්ෂාව","","","","","","","","","","","","",""
"බස්නාහිර","","","","","","","","","","","","","","","","",""
"","","ගම්පහ","Minuwangoda","","","","","","","","","12","","","","",""
"","","","","fLk; kio","","","","","","","","","","","","",""
"පලාත","15","fk;g`h","","","","","","","","","","","","","","",""
"","","","","Heavy Rain","","","","","","","","","","","","",""
"","","Gampaha","","ගං වතුර","","","","","","","","","","","","",""
"","","","Wattala","nts;sk;","","720","2620","","","","","16","","","1","21","79"
"","","","","Flood","","","","","","","","","","","","",""
"","","","Biyagama","","","","","","","","","12","","","","",""
"","","","","","","","","","","","","","","","","","One person died due"
"","","","Diulapitiya","","2018.05.20","","","1","","","0","301","","","","",""
"","","","","","","","","","","","","","","","","","to Drowning"
"","","","Mirigama","","2018.05.21","","","","","","1","25","","","","",""
"","","","","දැඩි වර්ෂාව","","","","","","","","","","","","",""
"","","","Kelaniya","","2018.05.20","","","","","","","24","","","","",""
"","","","","fLk; kio","","","","","","","","","","","","",""
"","","","J Ela","Heavy Rain","","","","","","","1","100","","","","",""
"","","","","","","","","","","","","","","","","","One person died due"
"","","","Mahara","","2018.05.21","","","1","","","1","6","","","","",""
"","","","","","","","","","","","","","","","","","to Drowning"
"","","","Katana","","","","","","","","","19","","","","",""
"","","","Negambo","","2018.05.22","","","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","755","2760","5","0","0","8","658","0","0","1","21","79"
"","","","Colombo","","2018.05.22","123","593","","","","","","","","","",""
"","","","Seethawaka","","","264","1122","","","","","","10","","","",""
"","","","Kolonnawa","","","2451","9723","","","","","","","","","",""
"","","","","","2018.05.21","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","One person died due"
"","","","Homagama","","","291","1126","1","","","","291","","","","",""
"","","","","ගං වතුර","","","","","","","","","","","","","to Drowning"
"","","ලකොළඹ nfhOk;G","Kaduwela","nts;sk;","","1923","7216","","","","1","1922","5","","8","56","212"
"","16","","","","","","","","","","","","","","","",""
"","","Colombo","","Flood","","","","","","","","","","","","",""
"","","","Kesbewa","","","22","126","","","","","14","","","","",""
"","","","kotte","","2018.05.22","43","157","","","","","43","","","","",""
"","","","Dehiwala","","","1","3","","","","","","","","","",""
"","","","Thimbirigasyaya","","","230","904","","","","","","","","","",""
"","","","Moratuwa","High Wind","2018.06.01","19","81","","","","","17","3","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","5367","21051","1","0","0","1","2287","18","0","8","56","212"
