"කිලිලනොච්චිය   
Karachchi","","2018.11.08","229","839","","","","","2","","","","",""
"11
fpspnehr;rp","Flood","","","","","","","","","","","","",""
"Kandawalai","","2018.11.09","353","1071","","","","","","","","","",""
"Killinochchi","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","582","1910","0","0","0","0","2","0","0","0","0","0"
"මන්නාරම","","","","","","","","","","","","","",""
"12
Mannar Town","Drowning","2018.11.10","2","10","2","","","","","","","","",""
"kd;dhH    Mannar","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","2","10","2","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1370","4417","3","0","0","90","192","0","0","2","20","71"
"Kegalle","Cutting Failure","","3","9","","","","1","1","","","","",""
"Bulathkohupitiya","Cutting Failure","","1","5","","","","","","","","","",""
"","Cutting Failure","","4","18","","","","","4","","","","",""
"Mawanella","","","","","","","","","","","","","",""
"කෑෙේල","Tree Fallen","","1","5","","","","","1","","","","",""
"සබරෙමුව","","2018.11.07","","","","","","","","","","","",""
"Nffhiy       
13","Cutting Failure","","4","7","","","","","2","1","","","",""
"පලාත","","","","","","","","","","","","","",""
"Kegalle
rg;ufKt","Tree Fallen","","2","6","","","","","","","","","",""
"Aranayaka
Sabaragam","Rock Fallen","","1","2","","","","","","","","","",""
"uwa","Lightning","","1","5","","","","","","","","","",""
"","Heavy Rain","2018.11.08","1","4","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","18","61","0","0","0","1","8","1","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","18","61","0","0","0","1","8","1","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","2537","8730","7","8","0","95","338","10","0","7","105","423"
"","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
