"","","","","Families","","","","People","","","","","","","","","Families",""
"","","","","","","","","","","y","","Enterprises","","critical","","Location","",""
"","","","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","","","","s","",""
"","Bamunukotuwa","","","1","4","","","","","","1","","","","","","",""
"කුරුණෑගල","Narammala","","","1","8","","","","","","1","","","","","","",""
"1
FUdhfy;","Kuliyapitiya West","High Wind","2018.10.01","7","26","","","","","","7","","","","","","",""
"Kurunegala","Kurunegala","","","6","23","","","","","","6","","1","","","","",""
"","Panduwasnuwara West","","","11","31","","","","","","11","","2","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","26","92","0","0","0","0","","26","","3","","0","0","0","0"
"","Mahawewa","","","10","18","","","","","","","","","","","","",""
"වයඹ පලාත","Wanathavilluwa","Rain & Flood","2018.10.06","","","","","","","","","","","","1 1","","",""
"tlNky;","","","","","","","","","","","","","","","","","",""
"khfhzk;","Nawagaththegama","High Wind","2018.10.05","11","41","","","","","","9","","1","","","","",""
"North 
පුත්තලම","","","","126","550","","","","","","126","","","","","","",""
"Western
Gj;jsk;  
2","Mahakumbukkadawala","","","386","1328","","","","","","386","","68","","","","",""
"","","High Wind","2018.10.01","","","","","","","","","","","","","","",""
"Puttalam","Pallama","","","146","482","","","","1","","117","","28","","","","",""
"","","","","7","26","","","","","","7","","","","","","",""
"","Karuwalagaswewa","","","","","","","","","","","","","","","","",""
"","","Lightning","2018.10.09","2","6","1","1","","","","","","","","","","",""
"","Arachchikattuwa","","","1","4","","","","","","1","","","","","","",""
"","","High Wind","2018.10.01","","","","","","","","","","","","","","",""
"","Chilaw","","","1","5","","","","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","690","2460","1","1","0","1","","647","","97","","2","0","0","0"
