"","","Kotmale East","","","21","73","","","","","21","","","","",""
"","","Walapane","","","4","18","","","","","4","","","","",""
"","","Talawakele","","","7","31","","","","","7","","","","",""
"","නුවරඑලිය","Haguranketha","","","1","4","","","","","1","","","","",""
"","","","","2025.05.27/28/29/","","","","","","","","","","","",""
"10","Etnuypah","","High Wind","","","","","","","","","","","","",""
"","","Nuwara Eliya","","30","43","199","","1","","","25","","","1","28","120"
"","Nuwara Eliya","","","","","","","","","","","","","","",""
"","","Kotmale West","","","12","42","","","","","12","","","","",""
"","","Ambagamuwa","","","13","45","","","","","13","","","","",""
"","","Norwood","","","11","50","","1","","","11","","","1","2","9"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","112","462","0","2","0","0","94","0","0","2","30","129"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","259","1026","0","2","0","0","237","0","0","2","30","129"
"","මනනාරම","","","","","","","","","","","","","","",""
"11","","Mannar","High Wind","2025.05.30","1","4","","","","","1","","","","",""
"","kd;dhH   Mannar","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","1","4","0","0","0","0","1","0","0","0","0","0"
"උතුරු පලාත      tl","","","","","","","","","","","","","","","",""
"khfhzk Northen ;","යාපනය","","","","","","","","","","","","","","",""
"12","","Karainagar","High Wind","2025.05.30","2","4","","","","","2","","","","",""
"","aho;g;ghzk; Jaffna","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","2","4","0","0","0","0","2","0","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","3","8","0","0","0","0","3","0","0","0","0","0"
"","","Welimada","","","31","95","","","","","31","","","","",""
"","","Passara","","","7","30","","","","","7","","","","",""
"","","Uwaparanagama","","","60","223","","","","","60","","","","",""
"","","Kandeketiya","","","5","10","","","","","5","","","","",""
"","","Meegahakiula","","","3","8","","","","","3","","","","",""
"","බදුල්ල","Haldumulla","","","17","67","","","","","17","","","","",""
"13","gJs;is","","High Wind","2025.05.30","","","","","","","","","","","",""
"ඌව","","Ella","","","8","20","","","","","7","","","","",""
"","Badulla","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","",""
"Uva","","Ridimaliyadda","","","4","13","","","","","4","","","","",""
"","","Bandarawela","","","1","3","","","","","1","","","","",""
"","","Mahiyanganaya","","","5","18","","","","","5","","","","",""
"","","Haputale","","","5","22","","","","","5","","","","",""
"","","Haliela","","","7","32","","","","","7","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","153","541","0","0","0","0","152","0","0","0","0","0"
