"","","Attanagalla","","2024.06.02","","","","","","","","","","","",""
"","ගම්පහ","","Flood","","","","","","","","","","","","",""
"","","Gamnpaha","","2024.06.02","","","","","","","","","","","",""
"5","fk;g`h","","","","","","","","","","","","","","",""
"","Gampaha","","","","","","","","","","","","","","",""
"","","Wattala","","2024.06.02","1900","7648","","","","","","","","2","19","68"
"","","Minuwangoda","","2024.06.02","5","23","","","1","","","","","2","5","23"
"","","Ja-Ela","","2024.06.02","683","2559","","","","","","","","3","26","118"
"","","Katana","","2024.06.02","100","306","","","","","","","","1","6","25"
"","","From 2024.06.06","","","","","","","","","","","","","",""
"","","","High Wind","2024.06.04","","","","","","1","385","80","","","",""
"","","Situation 16.00","","","","","","","","","","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","2889","11657","2","0","1","1","386","80","0","11","108","466"
"","","Kaduwela","","","1634","6007","","","","","","","","10","156","685"
"","නකොළඹ","","","","","","","","","","","","","","",""
"6","","","Flood","2024.06.02","","","","","","","","","","","",""
"","nfhOk;G Colombo","","","","","","","","","","","","","","",""
"","","Seetawaka","","","20","67","3","","","","","","","1","20","67"
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","1654","6074","3","0","0","0","0","0","0","11","176","752"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","","12951","48742","8","2","1","17","1251","80","0","29","303","1298"
