"ස්ත්‍බරෙමුව පලාත","","","","Page 4","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"rg;ufKt","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"රත්නපුර","Opanayake","9","29","","","","","","4","","","","","",""
"14
,uj;jpdGhp","Heavy Rain
Embilipitiya","2019.12.23
47","171","","","","","","46","1","","","","",""
"Rathnapura","Kolonna","4","16","","","","","","4","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","60","216","","0","0","0","0","54","1","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","67","245","","1","0","0","0","60","1","0","0","0","0",""
"","","","","","","","","","","","","","","","Mahathibirikalla"
"","","","","","","","","","","","","","","Community",""
"","","","","","","","","","","","","","","","Center,Naigala"
"","","","","","","","","","","","","","","Dutugamunu",""
"","","","","","","","","","","","","","","","Temple,Yaaya 03"
"","Rajanganaya","245","723","","","","","","","","","6","180","541",""
"","","","","","","","","","","","","","","Ashokarama",""
"","","","","","","","","","","","","","","","Temple,Bodirajarama"
"","","","","","","","","","","","","","","","Temle,Yaaya 12"
"","","","","","","","","","","","","","","Community",""
"","","","","","","","","","","","","","","","Center,Mahasen Collage"
"අනුරාධ්‍පුර","","","","","","","","","","","","","","",""
"15
m.Guk;","Flood
Palagala","2019.12.20
179","671","","","","","","","","","","","",""
"Anuradhapura","","","","","","","","","","","","","","",""
"","Nuwaragam Palatha","3","13","","","","","","","","","1","3","13 Swarnapali Aramaya",""
"","Thambuththegama","198","663","","","","","","","","","","","",""
"උතුරු මැද පළාත","","","","","","","","","","","","","","",""
"North Central","Thalawa","142","446","","","","","","","","","","","",""
"","Ipalogama","420","1410","","","","","","","","","","","",""
"","Galnewa","286","997","","","","","","","","","","","",""
"","Nochchiyagama","11","61","","","","","","","","","","","",""
"","Palugaswewa","70","171","","","","","","","","","","","",""
"","Kakirawa","8","32","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","1562","5187","","0","0","0","0","0","0","0","7","183","554",""
"ගපාගලානනරුව","","","","","","","","","","","","","","",""
"16
nghyd;dWit","Elahara
Flood","2019.12.20
138","476","","","","","5","45","1","","1","18","65 Community Center-",""
"","","","","","","","","","","","","","","Bakamuna",""
"Polonnaruwa","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","138","476","","0","0","0","5","45","1","0","1","18","65",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","1700","5663","","0","0","0","5","45","1","0","8","201","619",""
"මුලතිව්","","","","","","","","","","","","","","",""
"","Maritimepattu","1","2","","","","","","","","","","","",""
"17
Ky;iyj;jP","Flood","2019.12.23","","","","","","","","","","","","",""
"Mulaitivu","Welioya","67","210","","","","","3","19","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","68","212","","0","0","0","3","19","1","0","0","0","0",""
"යාපනය","Chankanai","1","8","","","","","","1","","","","","",""
"","Heavy Rain","2019.12.24","","","","","","","","","","","","",""
