"","ප්‍රධාන්‍  න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය","","","","දින්‍ය :     2024-01-25"
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"න්‍ගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","31","21","90","55","ප්‍රධාන වශහයන් වැසි රහිත"
"මඩකලපුව","29","23","90","65","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","32","23","80","40","ප්‍රධාන වශහයන් වැසි රහිත"
"ගාල්තල","31","24","85","70","ප්‍රධාන වශහයන් වැසි රහිත"
"යාපනය","30","24","90","55","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","31","17","90","50","ප්‍රධාන වශහයන් වැසි රහිත"
"නුවරඑළිය","22","5","70","20","ප්‍රධාන වශහයන් වැසි රහිත"
"රත්තනපුරය","33","21","90","50","ප්‍රධාන වශහයන් වැසි රහිත"
"ිකුණාමලය","30","23","90","60","ප්‍රධාන වශහයන් වැසි රහිත"
"මන්නාරම","30","23","90","55","ප්‍රධාන වශහයන් වැසි රහිත"
