"","Weather Forecast for Main Cities","","","Date :","2024-09-02"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","26","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","31","24","90","70","Showers or thundershowers at times"
"Galle","29","25","90","80","Showers or thundershowers at times"
"Jaffna","32","25","80","75","Mainly fair"
"Kandy","28","22","95","70","Showers or thundershowers at times"
"Nuwara-Eliya","18","15","95","85","Showers or thundershowers at times"
"Ratnapura","30","24","95","80","Showers or thundershowers at times"
"Trincomalee","35","26","85","50","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","85","75","Several spells of light showers"
