"","","Buttala","Drought
2019.04.08","340","1530","","","","",""
"","","","Lighting","1","5","1","","","",""
"","නමොනර෈ග඼","Siyabalanduwa","","","","","","","",""
"","20
nkhdwhfiy","","","26","116","","","","3","24"
"ඌල","","","","","","","","","",""
"","","","2019.06.24","","","","","","",""
"Cth khfhzk","Moneragala","","High Wind &","","","","","","",""
"","","Bibila","","2","9","","","","","2"
"Uva","","","Heavy Rain","","","","","","",""
"","","Badalkumbura","","2","8","","","","","2"
"","","Madulla","","3","16","","","","","3"
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","374","1684","1","0","0","3","31"
