"","2021.05.25-27","13","47","","","","","9","","","","",""
"Katuwana","","","","","","","","","","","","",""
"","2021.05.30","4","17","","","","","3","","","","",""
"හම්බන්නතාට","","","","","","","","","","","","",""
"Walasmulla","2021.05.24","6","29","","","","","6","","","","",""
"දකුනු පලාත   
15
High wind
`k;ghe;Njhl;il","","","","","","","","","","","","",""
"Thissamaharama","2021.05.24-27","6","22","","","","","5","","","","",""
"njd; 
Hambantota","","","","","","","","","","","","",""
"Beliatta","2021.05.16-28","27","90","","","","","26","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"Okewela","2021.05.28","8","33","","","","","6","","","","",""
"Southern","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","64","238","0","0","0","0","55","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","64","238","0","0","0","0","55","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","3429","13820","1","5","3","8","1297","30","1","0","0","0"
"","","","","රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
