"","","","nra.gp    DS Division","","","","","","","","KOik","sT","","","fl;likg;Gf;fs;","if","","",""
"","","District","","","","s;","People","","People","g","","","","","","","fs;","Persons",""
"","","","","","","","","","","","","Partiall","Small, Medium,","","Damages to","Safety","","",""
"","","","","","","","","","","","Fully","","","","","","","",""
"","","","","","","Families","","","","People","","","","","","","Families","",""
"","","","","","","","","","","","","y","Enterprises","","critical","Location","","",""
"","","","","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","","","","s","","",""
"","","","Rattota","Rock Fallen","2018.11.09","15","70","","","","","","","","","1","12","","39 Welangahawatta"
"","","මාතලේ","","","","","","","","","","","","","","","","","Temple"
"","1","khj;jis","","","","","","","","","","","","","","","","",""
"","","","Dambulla","Flood","2018.11.22","13","42","","","","3","10","","","","2","13","42",""
"","","Matale","","","","","","","","","","","","","","","","",""
"","","","Vilgamuwa","Flood","2018.11.22","84","298","","","","1","73","","2","","1","7","28",""
"","","","Abangagakoralaya","High Wind","2018.11.26","2","8","","","","","2","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","114","418","0","0","0","4","85","","2","0","4","32","109",""
"මධ්‍යම පලාත","","","Delthota","","","7","27","","","","","","","","","","","",""
"","","","","Heavy Rain","2018.11.22","","","","","","","","","","","","","",""
"kj;jpa","","","","","","","","","","","","","","","","","","",""
"","","","","","","2","8","","","","","2","","","","","","",""
"khfhzk;","","","Pathahewahata","","","","","","","","","","","","","","","",""
"","","","","Lightning","","1","5","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","","","","",""
"","","නුවර","","","","","","","","","","","","","","","","",""
"","2","","Ududumbara","","","1","4","","","","","1","","","","","","",""
"","","fz;b     Kandy","","Flood","","","","","","","","","","","","","","",""
"","","","Minipe","","2018.11.23","7","25","","","","","1","","","","","","",""
"","","","Medadumbara","","","2","7","","","","1","1","","","","","","",""
"","","","","Cutting Failure","","","","","","","","","","","","","","",""
"","","","Pathadumbara","","","1","3","","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","21","79","0","0","0","1","6","","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","135","497","0","0","0","5","91","","2","0","4","32","109",""
"","","","Kurunegala","","2018.11.22","64","309","","","","","1","","","","","","",""
"","","","","Flood","","","","","","","","","","","","","","",""
"","","","Narammala","","","13","47","","","","","","","","","","","",""
"","","","","","2018.11.24","","","","","","","","","","","","","",""
"","","කුරුනෑගල","","","","","","","","","","","","","","","","",""
"","","","Alawuwa","Heavy Rain","","5","23","","","","","5","","","","","","",""
"","3","FUdhfy;","","","","","","","","","","","","","","","","",""
"","","","Mallawapitiya","Lightning","2018.11.02","1","3","","","","","1","","","","","","",""
"","","Kurunegala","","","","","","","","","","","","","","","","",""
"","","","Udubaddawa","Flood","","16","51","","","","","","","","","","","",""
"","","","","","2018.11.24","","","","","","","","","","","","","",""
"වයඹ පලාත","","","Polgahawela","Cutting Failure","","1","1","","","","","1","","","","","","",""
"tlNky;","","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","100","434","0","0","0","0","8","","0","0","0","0","0",""
"khfhzk;","","","","","","","","","","","","","","","","","","",""
"North","","","Mahawewa","","","61","148","","","","","","","","","","","",""
"Western","","","Chilaw","","","76","361","","","","","1","","","","","","",""
"","","පුත්තලම","","Heavy Rain &","","","","","","","","","","","","","","",""
"","4","","Wanathavilluwa","","2018.11.24","1","6","","","","","1","","","","","","",""
"","","Gj;jsk Puttalam","","Flood","","","","","","","","","","","","","","",""
"","","","Mahakumbukkadawala","","","20","57","","","","","","","","","","","",""
