"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","30","24","95","80","වැසි වාර කිහිපයක්"
"මඩකලපුව","30","25","95","85","වැසි වාර කිහිපයක්"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"හකාළඹ","31","25","90","60",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"ොේල","30","25","95","75",""
"","","","","","ැක"
"යාපනය","29","24","95","85","වැසි වාර කිහිපයක්"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"ම නුවර","29","22","90","75",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"නුවරඑළිය","19","14","90","75",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"රත්නපුරය","31","24","95","70",""
"","","","","","ැක"
"ිකුණාමලය","30","25","90","80","වැසි වාර කිහිපයක්"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"මන්නාරම","30","25","95","85",""
"","","","","","ැක"
