"","","Rock Fallen      ගල්","","","","","","","","","","","","",""
"","Ehaliyagoda","2018.05.12","16","52","","","","","","","","1","3","","10 Safe Location - Karandna"
"","නපරලීම්","","","","","","","","","","","","","","k. Viduhala"
"","රත් පුර","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","R/Madyakanda Tamil"
"","7
,uj;jpdGhp","","","","","","","","","","","","","","School & Madyakanda"
"","Heavy Rain and","","","","","","","","","","","","","",""
"","Rathnapura
Balangoda","2018.06.11","49","187","","","","","30","","","4","19","81","Estate Hospital / uper"
"සබරගමුව","High Wind","","","","","","","","","","","","","","Balangoda quarters / Uper"
"පලාත/rg;uf","","","","","","","","","","","","","","","Balangoda church"
"Kt/","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","65","239","0","0","0","0","30","0","0","5","22","91",""
"Sabaragam","","","","","","","","","","","","","","",""
"uwa/","කෑගල්ල","","","","","","","","","","","","","",""
"","8
Aranayaka
Drowning
Nffhiy","2018.07.14","","1","","","1","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","0","1","0","0","1","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","65","240","0","0","1","0","30","0","0","5","22","91",""
"","Galgamuwa","","516","1849","","","","","","","","","","",""
"","Ambanpola","","1687","5243","","","","","","","","","","",""
"වයඹ","කුරුණෑගල","","","","","","","","","","","","","",""
"පලාත/tlNk","9
FUdhfy; 
Drought
Giribawa","2018","2523","7063","","","","","","","","","","",""
"y;","Kurunegala","","","","","","","","","","","","","",""
"","Mahawa","","1166","3461","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","",""
"","Ahatuwewa","","1335","3319","","","","","","","","","","",""
"North","","","","","","","","","","","","","","",""
"Western/","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","7227","20935","0","0","0","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","7227","20935","0","0","0","0","0","0","0","0","0","0",""
"","නපොනලොන් රුව","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","207 - Manampitiya GN"
"","10
Dimbulagala
nghyd;dWit 
Drought","2018.06.01","30","120","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Divition"
"","Polonnaruwa","","","","","","","","","","","","","",""
"උතුරුමැද","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","30","120","0","0","0","0","0","0","0","0","0","0",""
"පලාත/tlkj;","","","","","","","","","","","","","","",""
"jpa","Mahavilachchiya","","2949","8810","","","","","","","","","","",""
"","අනුරාධ්‍පුර","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","",""
"","11
Drought
m.Guk;  
Nochchiyagama","2016.09.20","395","1215","","","","","","","","","","",""
"North","","","","","","","","","","","","","","",""
"","Anuradhapura","","","","","","","","","","","","","",""
"Central/","Kahatagasdigiliya","","559","1457","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","3903","11482","0","0","0","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","3933","11602","0","0","0","0","0","0","0","0","0","0",""
"","Missing in the","","","","","","","","","","","","","",""
"","Pottuvil","2018.06.02","3","5","","","3","","","","","","","",""
"","Marine","","","","","","","","","","","","","",""
"","Thirukkovil","2018.01.05","578","1855","","","","","","","","","","",""
"","Alayadivembu
අම්පාර","2018.03.26","955","3173","","","","","","","","","","",""
"","12
mk;ghiw","","","","","","","","","","","","","",""
"","Pottuvil","2018.04.04","1229","4088","","","","","","","","","","",""
"ැනග හිර","Ampara","","","","","","","","","","","","","",""
"","Drought","","","","","","","","","","","","","",""
"පලාත/fpof;F","Navithanveli","2018.05.11","2475","7855","","","","","","","","","","",""
"/Eastern","","","","","","","","","","","","","","",""
"","Lahigala","2018.06.21","455","1384","","","","","","","","","","",""
"","Damana","2018.07.02","556","1983","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","6251","20343","0","0","3","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","6251","20343","0","0","3","0","0","0","0","0","0","0",""
"","Badalkumbura
නමො රාගල/nkhdwhf","","4","18","","","","","4","","","","","",""
"","13
High Wind","2018.07.25","","","","","","","","","","","","",""
"ඌව/Cth","iy Moneragala","","","","","","","","","","","","","",""
"","Buththala","","3","13","","","","","3","","","","","",""
"khfhzk;/Uv","","","","","","","","","","","","","","",""
"a","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","7","31","0","0","0","0","7","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","7","31","0","0","0","0","7","0","0","0","0","0",""
"","කළුතර/fSj;Jiw","","","","","","","","","","","","","",""
"Western/","14
Ingiriya
Drowning","2018.07.28","","","","","2","","","","","","","",""
"Nky;","/ Kalutara","","","","","","","","","","","","","",""
"khfhzk/බ","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","0","0","0","0","2","0","0","0","0","0","0","0",""
