"","","","","","","","Page 3","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","","","Flood","","26","122","","","","","","","","","",""
"","","","","Tree Fallen","","1","2","","","","","1","","","","",""
"ධ්‍ය  පලොත","","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","Nuwara Eliya","","","","","","","","","","","","","",""
"","","","","Land Slide Risk","","3","18","","","","","1","","","1","2","10"
"Central","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Kotlodge Tamil"
"","","","","Land Slide","","15","59","","","","","5","","","1","1","School/ Lipakele Day 
6"
"","","නුවරඑලිය","","","","","","","","","","","","","","","Care Centre"
"","11","Etnuypah","","","2019.11.30","","","","","","","","","","","",""
"","","","","Land Slide Risk","","12","25","","","","","","","","1","12","25 Harasbedda Temple"
"","","Nuwara Eliya","Walapane","","","","","","","","","","","","","",""
"","","","","Land Slide","","26","75","3","","1","1","","","","1","26","75 Munwatte Temple"
"","","","Hankuranketha","Cutting Failure","","1","4","","","","","1","","","","",""
"","","","","Flood","","50","237","","","","","1","","","1","31","152 Norwood Tamil School"
"","","","Ambagamuwa","","","","","","","","","","","","","",""
"","","","","Cutting Failure","","2","9","","","","","1","","","1","2","9 Loynon Estate Home"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","136","551","3","0","1","1","10","0","0","6","74","277"
"","","","Naula","Elephant Attack","2019.11.30","","","1","","","","","","","","",""
"","","ොතමල්","","","","","","","","","","","","","","",""
"","12","","","","","","","","","","","","","","","",""
"","","khj;jis Matale","Raththota","Heavy Rain","2019.12.01","16","62","","","","","","","","1","16","62 Pitakandara Tamil"
"","","","","","","","","","","","","","","","","","School"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","16","62","1","0","0","0","0","0","0","1","16","62"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","195","758","4","1","1","4","36","1","0","7","90","339"
"","","මපොමලොන්නරුව","","","","","","","","","","","","","","",""
"","13","nghyd;dWit","Dimbulagala","Elephant Attack","2019.11.30","","","1","","","","","","","","",""
"","","Polonnaruwa","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","0","0","1","0","0","0","0","0","0","0","0","0"
"","","","N.P.E","","","19","61","","","","","19","","","","",""
"","","","Rajanganaya","","","19","63","","","","","19","","","","",""
"උතුරු ැද පලොත","","","","","","","","","","","","","","","","",""
"","","","Nochchiyagama","","","10","27","","","","","10","","","","",""
"tlkj;jpa","","","","","","","","","","","","","","","","",""
"khfhzk;","","අනුරොධ්‍පුර m.Guk;","Nachchaduwa","","","3","12","","","","","3","","","","",""
"","14","","","Heavy Rain","2019.11.30","","","","","","","","","","","",""
"North Central","","Anuradhapura","N.P.C","","","43","141","","","","","","","","","",""
"","","","Palagala","","","1","","","","","1","","","","","",""
"","","","Kahatagasdigiliya","","","2","","","","","","2","","","","",""
"","","","Thalawa","","","2","","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","99","304","0","0","0","1","55","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","99","304","1","0","0","1","55","0","0","0","0","0"
"","","","Mundalama","","","138","470","","","","","","","","","",""
"","","","Kalpitiya","","","757","2625","","","","","","","","1","20","194"
"","","පුත්තල    Gj;jsk;","Wanathawilluwa","","","1","4","","","","","1","","","","",""
"වයඹ පලොත","15","","","Flood","2019.12.01","","","","","","","","","","","",""
"tlNky;","","Puttalam","Mhakumbukkadawala","","","2","16","","","","","2","","","","",""
"khfhzk;","","","Nwagaththegama","","","50","152","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","","","Puttalama","","","686","2068","","","","","1","","","5","685","2066"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","1634","5335","0","0","0","0","4","0","0","6","705","2260"
