"","Nannattan","Heavy Rain & Flood","","1","4","","","","","1","","","","",""
"","","","","","","","","","","","","","","","1. Paliyaru Common"
"","","","","","","","","","","","","","","","Building  2. Saveriyar"
"න්නාර","","","","","","","","","","","","","","",""
"","Manthai West","Heavy Rain & Flood","","171","653","","","","","1","","","3","140","Church   3. 
498"
"6
kd;dhH","","","2023.12.15 - 18","","","","","","","","","","","","Thevanpiddy"
"Mannar","","","","","","","","","","","","","","","Community Hall"
"","Mannar Town","Heavy Rain & Flood","","404","1495","","","","","1","","","","",""
"","Madhu","Heavy Rain & Flood","","52","119","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","628","2271","0","0","0","0","3","0","0","3","140","498"
"","Kopay","Flood","2023.12.17-18","10","41","","","","","1","","","","",""
"යාපනය","","","","","","","","","","","","","","",""
"7","Uduvil","Flood","2023.12.18","1","6","","","","","1","","","","",""
"aho;g;ghzk; Jaffna","","","","","","","","","","","","","","",""
"","Chavakachcheri","Flood","2023.12.17","60","205","","","","","6","","","1","6","21 Annai Pre School"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","71","252","0","0","0","0","8","0","0","1","6","21"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","1708","5625","0","1","0","0","20","0","0","18","623","2032"
"ඩකලපුව","Porathivupattu vellvely","","2023.12.16-18","52","178","","","","","","","","","",""
"8
kl;lf;fsg;G","","Flood","","","","","","","","","","","","",""
"Batticaloa","Manmunai South West","","2023.12.17","47","157","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","99","335","0","0","0","0","0","0","0","0","0","0"
"","","","2023.12.16","12","32","","","","","","","","","",""
"","Thampalagamuwa","Flood","","","","","","","","","","","","",""
"","","","2023.12.17-18","1","2","","","","","1","","","","",""
"","Gomarankadawala","Flood","2023.12.18","12","37","","","","","","","","","",""
"","","Flood","2023.12.18","7","19","","","","","","","","","",""
"","Muthur","","","","","","","","","","","","","",""
"","","High Wind","2023.12.15","1","5","","","","","1","","","","",""
"","","","","","","","","","","","","","","","1. Keniyadi Pre School"
"නැමගනහිර පලාත","","","2023.12.18","558","2207","","","","","","","","3","50","2. Keniyadi GN Office 
175"
"ත්‍රීකුණා ලය","","","","","","","","","","","","","","",""
"","Town & Gravets","","","","","","","","","","","","","","3. Sollaiyadi Pre School"
"fpof;F       Eastern","","","","","","","","","","","","","","",""
"9
jp.kiy","","","","","","","","","","","","","","",""
"Trincomalee","","","2023.12.16","6","23","","","","","6","","","","",""
"","","Flood","2023.12.18","143","296","","","","","","","","","",""
"","Kinniya","","","","","","","","","","","","","",""
"","","","2023.12.17-18","2","9","","","","","2","","","","",""
"","","","2023.12.18","17","69","","","","","","","","","",""
"","Padavisripura","","","","","","","","","","","","","",""
"","","","2023.12.17-18","3","6","","","","","3","","","","",""
"","Kuchchaveli","Flood","2023.12.17-18","1","7","","","","","1","","","","",""
"","Morawewa","Flood","2023.12.17-18","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","764","2717","0","0","0","0","15","0","0","3","50","175"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","863","3052","0","0","0","0","15","0","0","3","50","175"
"","","Lightning","","1","3","","","","","1","","","","",""
"","Rambukkana","","2023.12.17","","","","","","","","","","","",""
"කෑගල්ල","","Tree Fallen","","1","6","","","","","1","","","","",""
"10","","","","","","","","","","","","","","",""
"Nffhiy  Kegalle","Mawanella","Collapse of a wall","2023.12.17","1","1","","","","","1","","","","",""
"","Warakapola","Lightning","2023.12.17","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","4","14","0","0","0","0","4","0","0","0","0","0"
"","","Flash Flood","2023.12.16","1","3","","","","","1","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","",""
"","Opanayaka","","","","","","","","","","","","","",""
"rg;ufKt","","Cutting Faliure","2023.12.16","2","8","","","","","1","","","","",""
"Sabaragamuwa
රත්නපුර","","","","","","","","","","","","","","",""
"","Godakawela","Heavy Rain / Wind","2023.12.15-17","5","15","","","","","5","","","","",""
"11
,uj;jpdGhp","","","","","","","","","","","","","","",""
"Rathnapura","Kalawana","Lightning/High Wind","2023.12.15","3","12","","","","","3","","","","",""
"","Embilipitiya","Heavy Rain","2023.12.17","1","3","","","","","1","","","","",""
"","Balangoda","Cutting Faliure","2023.12.17","1","3","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","13","44","0","0","0","0","12","0","0","0","0","0"
