"","","Lightning","2022.11.07","11","50","","2","","","1","","","","",""
"","Rambukkana","","","","","","","","","","","","","",""
"","","Cutting Faliure","2022.11.04","3","19","","","","","3","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","65","265","0","2","0","0","42","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","84","323","0","4","0","0","58","0","0","0","0","0"
"","","Heavy Rain","2022.11.01","1","6","","","","","1","","","","",""
"","Welimada","","","","","","","","","","","","","",""
"","","Heavy Rain","2022.11.11","1","4","","","","","1","","","","",""
"","","Tree Fallen","2022.11.09","1","1","","","","","1","","","","",""
"","","Heavy Rain","2022.10.31","2","6","1","","","","2","","","","",""
"","Bandarawela","Heavy Rain","2022.11.02","1","4","","","","","1","","","","",""
"","","Heavy Rain","2022.11.05-07","9","36","","","","","9","","","","",""
"","","Heavy Rain","2022.11.09","2","5","","","","","2","","","","",""
"","","Heavy Rain","2022.11.05","1","4","","","","","1","","","","",""
"","","Cutting Faliure","2022.11.05","1","5","","","","","1","","","","",""
"","Ella","","","","","","","","","","","","","",""
"","","Cutting Faliure","2022.11.02","1","3","","","","","1","","","","",""
"","","Cutting Faliure","2022.11.01","3","15","","","","","3","","","","",""
"","","Heavy Rain","2022.11.13","2","5","","","","","2","","1","","",""
"","","Heavy Rain","2022.11.06","1","4","","","","","1","","","","",""
"","Uva Paranagama","Heavy Rain","2022.11.09","1","6","","","","","1","","","","",""
"","","Landslide","2022.11.13","","","","","","","","","1","","",""
"","","High Wind & Rain","2022.11.02","1","4","1","","","","","","","","",""
"","Hali Ela","Heavy Rain","2022.11.01","1","2","","","","","1","","","","",""
"","","Heavy Rain","2022.11.13","1","1","","","","","1","","","","",""
"","","High Wind & Rain","2022.11.08","1","1","","","","","1","","","","",""
"","Meegahakiula","High Wind","2022.11.01","1","3","","","","","1","","","","",""
"","","Heavy Rain & wind","2022.11.14","2","7","","","","","2","","","","",""
"","","Heavy Rain","2022.11.06","1","5","","","","","1","","","","",""
"","","Heavy Rain","2022.11.06","1","6","","","","","1","","","","",""
"","බදුල්ල","Landslide Risk","2022.11.10","7","30","","","","","","","","","",""
"3","Passara
gJs;is","","","","","","","","","","","","","",""
"ඌව","","Lightning","2022.11.01","2","13","","","","","2","","","","",""
"","Badulla","","","","","","","","","","","","","",""
"Cth khfhzk","","Landslide Risk","2022.11.01","11","37","","","","","","","","","",""
"; Uva","","","","","","","","","","","","","","",""
"","","Landslide Risk","2022.11.01","67","270","","","","","","","","","",""
"","Haldummulla","Lightning","2022.11.02","1","4","","","","","1","","","","",""
"","","Heavy Rain","2022.11.09","1","1","","","","","1","","","","",""
"","","Cutting Faliure","2022.11.04","1","2","","","","","","","","","",""
"","","Heavy Rain","2022.11.12","1","4","","","","","1","","","","",""
"","Badulla","","","","","","","","","","","","","",""
"","","Cutting Faliure","2022.11.13","","","","","","","","","1","","",""
"","","Lightning","2022.11.13","1","4","","1","","","1","","","","",""
"","","Cutting Faliure","2022.11.13","","","","","","","","","1","","",""
"","Kandaketiya","Lightning","2022.11.03","1","3","","","","","1","","","","",""
"","","Heavy Rain","2022.11.03","1","3","1","","","","","","","","",""
"","Lunugala","High Wind","2022.11.03","1","6","","","","","1","","","","",""
"","","Land Slide","2022.11.13","","","","","","","","","1","","",""
"","","Heavy Rain","2022.11.04","3","13","","","","","3","","","","",""
"","Soranathota","","","","","","","","","","","","","",""
"","","High Wind","2022.11.03","1","7","","","","","1","","","","",""
"","","Fire","2022.11.08","1","5","","","","","1","","","","",""
"","","Cutting Faliure","2022.11.05","2","8","","","","","2","","","","",""
"","Haputhale","Cutting Faliure","2022.11.02","1","3","","","","","1","","","","",""
"","","Cutting Faliure","2022.11.05","1","6","","","","","1","","","","",""
"","","Cutting Faliure","2022.11.13","","","","","","","","1","","","",""
"","","Tree Fallen","2022.11.09","1","2","","","","","1","","","","",""
"","Ridimaliyadda","Lightning","2022.11.07","2","9","","","","","2","","","","",""
"","","Lightning","2022.11.04","2","8","","","","","2","","","","",""
"","Mahiyanganaya","High Wind & Rain","2022.11.07","1","2","","","","","1","","","","",""
