"","Weather Forecast for Main Cities","","","Date :","31-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","95","50","Mainly fair"
"Batticaloa","31","25","90","70","Mainly fair"
"Colombo","32","25","90","65","Mainly fair"
"Galle","31","25","85","70","Showers or thundershowers after 2.00p.m"
"Jaffna","35","22","90","65","Mainly fair"
"Kandy","32","21","90","60","Mainly fair"
"Nuwara-Eliya","23","10","95","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","23","95","60","Mainly fair"
"Mannar","34","25","90","65","Mainly fair"
