"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 12th August 2025 at 0900hrs","","","","","","","","","","","","","",""
"","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","","","","","","","tPLfs; Houses","","","","","","",""
"","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","","","Other Damages","","miktplk; Safe Location","",""
"","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","","","","",""
"","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","",""
"","","","","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","","","",""
"","","mdu;j;jk; 
ආපදාව","","","","","","","","","ඉතා වැදගත් යටිතල","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","kuzq;f","","","","","පරිමාණ වයාපාරික","","ආරක්ිත","","",""
"","","","","","","fhakil","fhzhky;","","","","","","","",""
"#","","Muk;gpj;j jpfjp  
mdHj;jk","","","","","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","පවුේ","","NtW Fwpg;Gf;fs;"
"","","","","","s;","e;NjhH","NghNdhH","","","ස්ත්‍
රථාන சிறிய,","","","","",""
"Province","","","","","","","","","","","","","","",""
"","ප්‍රා.ලේ. ලකා               
Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Remarks"
"දිස්ත්‍රික්කය","","","","","","","","පූර්ණ හානි","","நிறுவனங்களின்","","","","",""
"","gpuNjr nra.gp","","FLk;gq;fs;","egHfs;","","","","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;",""
"","","commenced","","","","Injured","Missing","","","","","","","",""
"மாவட்டம் District","","","Families","People","","","","KOik Fully","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons",""
"","DS Division","","","","","People","People","","","","","","","",""
"","","","","","","","","","","Medium,","critical","of Safety","Families","",""
"","","","","","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","","","","","Damages","","","","",""
"යාපනය","Karaveddy","","6","30","","","","","1","4","","","","",""
"1
aho;g;ghzk;","","High Wind
2025.08.11","","","","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","",""
"Jaffna","Point Pedro","","1","2","","","","","1","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","7","32","0","0","0","0","2","4","0","0","0","0",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","7","32","0","0","0","0","2","4","0","0","0","0",""
"","Suriyawewa","2025.08.01","1","5","","","","","1","","","","","",""
"හම්බනවතාට","","","","","","","","","","","","","","",""
"2
`k;ghe;Njhl;il","Katuwana","High Wind
2025.08.03","3","12","","","","","3","","","","","",""
"දකුණු පලාත","","","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","","","",""
"njd; khfhzk;","Lunugamwehera","2025.08.02","4","14","","","","","4","","","","","",""
"Southern","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","8","31","0","0","0","0","8","0","0","0","0","0",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","8","31","0","0","0","0","8","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","15","63","0","0","0","0","10","4","0","0","0","0","0"
