"","","","","","","","","නිවාස්ත්‍ හානි","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","","Other Damages","","miktplk; Safe Location",""
"","","","","","","තුවාලවු","අතුරුදහ","","","","","",""
"","","","","","","","","Damaged","","","","",""
"","","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","","",""
"","","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","",""
"","","ආපදාව","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත",""
"","#","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","s;","e;NjhH","NghNdhH","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන  
පවුේ",""
"Province","","","","","","","","පූර්ණ","","ස්ත්‍
රථාන சிறிய,","","","Remarks"
"","ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","දිස්ත්‍රික්කය","","","","","","","හානි","","நிறுவனங்களின்","","",""
"","","","commenced","","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i
egHfs;",""
"","gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","","","","","","","FLk;gq;f",""
"","மாவட்டம் District","","","","","People","People","KOik","","சேதங்கள்; Small,","","",""
"","","","","Families
People","","","","","Partially","Damages to","","s; 
Persons
f   No.",""
"","Division","","","","","","","Fully","","","","",""
"","","","","","","","","","","Medium, 
critical","","Families
of Safety",""
"","","","","","","","","","","Enterprises 
Infrastructure","","Locations",""
"","","","","","","","","","","Damages","","",""
"","ගම්පහ","","","","","","","","","","","","Drinking water is"
"","fk;g`h      
1
Diwulapitiya","Drought","2024.02.26","2394
7182","","","","","","","","","distributing for"
"Western","","","","","","","","","","","","","drought areas"
"","Gampaha","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","",""
"බස්නාහිර පලාත","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2394
7182","0","0","0","0","0","0","0","0
0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","2394
7182","0","0","0","0","0","0","0","0
0","0"
"","Warakapola","Drought","2024.03.11","56
271","","","","","","","","",""
"","Ruwanwella","Drought","2024.03.11","110
550","","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","","","Drinking water is"
"","Yatiyanthota","Drought","2024.03.14","80
289","","","","","","","","",""
"","Nffhiy     
2","","","","","","","","","","","","distributing for"
"","Dareniyagala","Drought","2024.03.17","95
394","","","","","","","","","drought areas"
"","Kegalle","","","","","","","","","","","",""
"","Dehiovita","Drought","2024.03.19","160
672","","","","","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","",""
"","Galigamuwa","Drought","2024.03.18/19","175
637","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","",""
"Sabaragamuwa","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","676
2813","0","0","0","0","0","0","0","0
0","0"
"","රත්නපුර    
Kolonna","","2024.04.03","1
2","","","","","1","","","",""
"","3
uj;jpdGhp","High Wind","","","","","","","","","","",""
"","Kiriella
Rathnapura","","2024.04.04","1
5","","","","","1","","","",""
"","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2
7","0","0","0","0","2","0","0","0
0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","678
2820","0","0","0","0","2","0","0","0
0","0"
"ඌව","","","","","","","","","","","","",""
"","බදුල්ල","","","","","","","","","","","",""
"Cth khfhzk;","4
Hali Ela","Drought","2024.03.31","50
190","","","","","","","","",""
"","gJs;is     Badulla","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","",""
