"","Weather Forecast for Main Cities","","","","15-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","65","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","25","95","70","Showers or thundershowers"
"Colombo","30","24","95","70","Showers or thundershowers after 2.00p.m"
"Galle","30","25","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","32","24","95","75","Showers or thundershowers"
"Kandy","30","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","12","95","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","22","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","23","95","75","Showers or thundershowers"
"Mannar","31","25","95","75","Showers or thundershowers after 2.00p.m"
