"Kaluthara","","","","","","1","","","","","",""
"Mathugama","27","114","","","","","27","","","","",""
"Dodangoda","28","79","","","","","28","","","","",""
"කළුතර/fSj;Jiw","","","","","","","","","","","",""
"18
High Wind
Bandaragama","2018.08.15
5","18","","","","","5","","","","",""
"/ Kalutara","","","","","","","","","","","",""
"Horana","7","27","","","","","7","","","","",""
"Madurawela","4","13","","","","","4","","","","",""
"Bulathsinhala","11","42","","","","","11","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","82","293","0","0","0","1","82","0","0","0","0","0"
"Minuwangoda
High Wind /Tree","2018.08.15/16
7","26","","","","","7","","","","",""
"Falen
Western/","6","25","","","","","6","","","","",""
"Aththanagalla","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","",""
"Fire","2018.08.15
3","15","","","","","3","","","","",""
"khfhzk;බස්","","","","","","","","","","","",""
"Wattala","4","15","","","","","4","","","","",""
"නාහිර පලාත","","","","","","","","","","","",""
"Gampaha","11","44","","","","1","10","","","","",""
"Biyagama","5","17","","","","","5","","","","",""
"ගම්පහ/fk;g`h/G","","","","","","","","","","","",""
"19
Meerigama","4","14","","","","","4","","","","",""
"ampaha","","","","","","","","","","","",""
"Diwulapitiya
High Wind /Tree","19","81","","","","1","18","","","","",""
"","2018.08.15/16","","","","","","","","","","",""
"Falen
Mahara","10","47","","","","","10","","","","",""
"Dompe","4","19","","","","","4","","","","",""
"Jaela","25","120","","","","","26","","","","",""
"Negambo","5","22","","","","","5","","","","",""
"Katana","2","7","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","105","452","0","0","0","2","104","0","0","0","0","0"
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","187","745","0","0","0","3","186","0","0","0","0","0"
"Elpitiya","2018.08.16
10","31","","","","","9","1","","","",""
"Nagoda","2018.08.14
3","11","","","","","3","","","","",""
"දකුනු 
20
High Wind","","","","","","","","","","","",""
"Ambalangoda
ගාේල/fhyp/Galle","2018.08.16
4","20","","","","","3","1","","","",""
"පලාත/njd;","","","","","","","","","","","",""
"Akmeemana","2018.08.16
1","8","","","","","1","","","","",""
"khfhzk;/","","","","","","","","","","","",""
"Balapitiya
Southern/","2018.08.16
6","29","","","","","6","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","24","99","0","0","0","0","22","2","0","0","0","0"
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","24","99","0","0","0","0","22","2","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","145092","488804","1","9","5","30","760","13","2","4","29","137"
