"","Weather Forecast for Main Cities","","","","14-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","60","Showers or thundershowers after 1.00p.m"
"Batticaloa","33","26","90","70","Showers or thundershowers after 1.00p.m"
"Colombo","31","25","95","70","Showers or thundershowers after 1.00p.m"
"Galle","31","26","95","75","Showers or thundershowers"
"Jaffna","33","26","95","60","Showers or thundershowers are likely after 1.00p.m"
"Kandy","31","22","95","60","Showers or thundershowers after 1.00p.m"
"Nuwara-Eliya","21","14","95","65","Showers or thundershowers after 1.00p.m"
"Ratnapura","34","24","95","65","Showers or thundershowers after 1.00p.m"
"Trincomalee","34","26","90","70","Showers or thundershowers after 1.00p.m"
"Mannar","32","26","90","65","Showers or thundershowers after 1.00p.m"
