"","","","","","","","","Fully","","Small, Medium,","","","","","","",""
"","","","","","","","People","","","","","","","","","Families",""
"","","","","","","","","","y","","","critical","","Location","","",""
"","","","","","","","","","","Enterprises","","","","","","",""
"","","","","","","","","","","Damages","","Infrastructure","","s","","",""
"","රත්නපුර","","","","","","","","","","","","","","","",""
"සබරගමුල ප඼෈","1
Balangoda
High Wind
,uj;jpdGhp","2019.08.01","1","4","","","","","1","","","","","","","",""
"rg;ufKt","Rathnapura","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","",""
"","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","1","4","0","0","0","0","1","","0","","0","","0","0","0"
"","පළ෈ත් ඵකතුල khfhz $l;Lj;njhif Province Total","","1","4","0","0","0","0","1","","0","","0","","0","0","0"
"","Ampara","","254","894","","","","","252","","2","","","","","",""
"","අම්ප෈ර   mk;ghiw","","","","","","","","","","","","","","","",""
"න෉තගනහිර ප඼෈","2
High Wind","2019.08.01","","","","","","","","","","","","","","",""
"","Ampara","","","","","","","","","","","","","","","",""
"fpof;F","Uhana","","172","664","","","","5","167","","","","","","","",""
"Eastern","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","426","1558","0","0","0","5","419","","2","","0","","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","426","1558","0","0","0","5","419","","2","","0","","0","0","0"
"","Siyabalanduwa
තමොනර෈ග඼","","79","280","","","","","79","","","","","","","",""
"","","Heavy rain / High","","","","","","","","","","","","","","",""
"","3
nkhdwhfiy","2019.07.31","","","","","","","","","","","","","","",""
"","Wind","","","","","","","","","","","","","","","",""
"","Bibila
Moneragala","","20","70","","","","","20","","","","","","","",""
"ඌල","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","99","350","0","0","0","0","99","","0","","0","","0","0","0"
"Cth khfhzk;","","","","","","","","","","","","","","","","",""
"Uva","බදුල්඼","","","","","","","","","","","","","","","",""
"","4
Ella
High Wind","2019.08.01","8","45","","","","","8","","","","","","","",""
"","gJs;is   Badulla","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","8","45","0","0","0","0","8","","0","","0","","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","107","395","0","0","0","0","107","","0","","0","","0","0","0"
"","හම්බන්ත ොට","","","","","","","","","","","","","","","",""
"","5
Hambanthota
Drowning
`k;ghe;Njhl;il","2019.08.01","","","1","","","","","","","","","","","",""
"දකුනු ප඼෈","","","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","0","0","1","0","0","0","0","","0","","0","","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","0","0","1","0","0","0","0","","0","","0","","0","0","0"
