"","Gampaha","Flood","2023.11.07","47","138","","","","","3","","","","",""
"","Minuwangoda","Flood","2023.11.08","51","197","","","","","10","","","4","33","130"
"","Aththanagalla","Flood","2023.11.07","215","840","","","","","14","","","8","200","772"
"","Meerigama","High Wind","2023.11.06","14","42","","","","","14","","","","",""
"","Katana","Flood","2023.11.04","232","937","","","","","","","","","",""
"ගම්පහ","","","","","","","","","","","","","","",""
"","Ja Ela","Flood","2023.11.04","709","2853","","","","","","","","2","17","66"
"fk;g`h     
5","","","","","","","","","","","","","","",""
"","Divilapitiya","Heavy Rain","2023.11.07","10","38","","","","","10","","","","",""
"Gampaha","","","","","","","","","","","","","","",""
"","Dompe","Heavy Rain","2023.11.05","33","131","","","","","19","","","1","13","48"
"Western","","","","","","","","","","","","","","",""
"","Mahara","Heavy Rain","2023.11.07","8","26","","","","","8","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","",""
"","Wattala","Flood","2023.11.08","1238","5183","","","","","7","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","","",""
"","Kelaniya","High Wind","2023.11.07","6","18","","","","","6","","","","",""
"","Biyagama","Lightning","2023.11.08","18","75","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2581","10478","0","0","0","0","93","0","0","15","263","1016"
"","Colombo","Heavy Rain/High Wind","2023.11.07","5","28","","","","","6","","","","",""
"කකාළඹ nfhOk;G","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","",""
"Colombo","","","","","","","","","","","","","","",""
"","Kolonnawa","Heavy Rain/High Wind","2023.11.07","117","369","","","","","10","","2","1","9","30"
"","","","","122","397","0","0","0","0","16","0","2","1","9","30"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","2703","10875","0","0","0","0","109","0","2","16","272","1046"
"","","","2023.11.02","1","4","","","","","","","","1","1","4 Piligalla Viharaya"
"","Udunuwara","Heavy Rain","","","","","","","","","","","","",""
"","","","2023.11.06","2","9","","","","","2","","","","",""
"","","","2023.11.05","1","3","","","","","1","","","1","5","14 Roam Cetalic Church"
"","Pathahewaheta","Rock Fallen","","","","","","","","","","","","",""
"","","","2023.11.06","1","2","","","","","1","","","","",""
"","Hatharaliyedda","Tree Fallen","2023.11.07","1","2","","","","","1","","","","",""
"","Haarispattuwa","Heavy Rain","2023.11.07","1","6","","","","","1","","","","",""
"නුවර","Yatinuwara","Heavy Rain","2023.11.05/07/08","6","28","","","","","6","","","","",""
"7
fz;b","Gangawata Korale","Heavy Rain","2023.11.06","1","5","","","","","1","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"Kandy","","High Wind","2023.11.06","1","4","","","","","1","","","","",""
"kj;jpa khfhzk;","Akurana","","","","","","","","","","","","","",""
"","","High Wind","2023.11.07","2","8","","","","","2","","","","",""
"Central","","","","","","","","","","","","","","",""
"","","Heavy Rain","2023.11.05","1","2","","","","","1","","","","",""
"","Doluwa","","","","","","","","","","","","","",""
"","","Heavy Rain","2023.11.04","1","4","","","","","1","`","","","",""
"","Ududumbara","Heavy Rain","2023.11.05","1","6","","","","","1","","","","",""
"","Thumpane","Heavy Rain","2023.11.07","2","6","","","","","2","","","","",""
"","Medadumbara","Cutting Faliure","2023.11.06","1","2","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","23","91","0","0","0","0","22","0","0","2","6","18"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","23","91","0","0","0","0","22","0","0","2","6","18"
"","Godakawela","Cutting Faliure","2023.11.07","2","7","","","","","2","","","","",""
"","","Heavy Rain","2023.11.06","1","4","","","","","1","","","","",""
"","Kahawaaththa","Cutting Faliure","2023.11.07","1","4","","","","","1","","","","",""
"","","Heavy Rain","2023.11.07","1","3","","","","","1","","","","",""
"","Nivithigala","Cutting Faliure","2023.11.06","1","5","","","","","","","","","",""
"","Opanayake","Landslide Risk","2023.11.06","2","7","","","","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","",""
"8
,uj;jpdGhp","","Landslide","2023.11.06","1","2","","","","","1","","","","",""
"","Balangoda","","","","","","","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","",""
"","","Cutting Faliure","2023.11.06","1","5","","","","","1","","","","",""
"","Elapatha","Heavy Rain","2023.11.06","1","4","","","","","1","","","","",""
"","Kalawana","Heavy Rain","2023.11.06","2","9","","","","","2","","","","",""
"","Kiriella","High Wind","2023.11.07","1","2","","","","","1","","","","",""
"","Kolonna","Cutting Faliure","2023.11.07","1","5","","","","","1","","","","",""
"","Weligepola","Landslide Risk","2023.11.06","1","5","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","16","62","0","0","0","0","5","0","0","0","0","0"
