"","","","","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","","","Damages","","","","","",""
"","","Lunugala","","","528","1706","","","","","528","","","","2","","",""
"","","Welimada","","","65","257","","","","","65","","","","","","",""
"","","Badulla","","","13","63","","","","","13","","","","","","",""
"","","Uva Paranagama","","","62","235","","","","","62","","","","5","","",""
"","","Haldumulla","","","751","2707","","6","","","751","","21","","14","","",""
"","","Bandarawela","","","12","49","","","","","12","","","","","","",""
"","","Haputhale","","","63","190","","","","","63","","","","","","",""
"","බදුල්ල","","","","","","","","","","","","","","","","",""
"1","gJs;is","Ridimaliyadda","High Wind","2022.12.07/08/09","31","89","","","","","31","","","","1","","",""
"","Badulla","","","","","","","","","","","","","","","","",""
"","","Soranathota","","","8","28","","1","","","8","","","","","","",""
"","","Passara","","","572","1985","","","","","569","","","","","","",""
"ඌව","","Meegahakiula","","","51","184","","","","","41","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","","","",""
"","","Haliela","","","5","21","","","","","5","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","",""
"","","Kandaketiya","","","14","42","","","","","10","","","","","","",""
"","","Mahiyanganaya","","","4","17","","","","","4","","","","1","","",""
"","","Ella","","","114","501","","","","","66","","","","8","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2293","8074","0","7","0","0","2228","","21","","31","0","0","0"
"","","Badalkumbura","","","97","395","","","","","96","","1","","","","",""
"","","Wellawaya","","","72","295","","","","","70","","2","","","","",""
"","මමානරාගල","Madulla","","","1","3","","","","","1","","","","","","",""
"2","nkhdwhfiy","","High Wind","2022.12.07-08","","","","","","","","","","","","","",""
"","","Bibila","","","335","976","","3","","","335","","","","","","",""
"","Moneragala","","","","","","","","","","","","","","","","",""
"","","Medagama","","","44","184","","","","","44","","","","","","",""
"","","Siyambalanduwa","","","15","56","","","","","15","","","","","","",""
"","","Buththala","","","17","59","","","","","17","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","581","1968","0","3","0","0","578","","3","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","2874","10042","0","10","0","0","2806","","24","","31","0","0","0"
"","","","","2022.12.08","25","112","2","4","","","25","","","","","","",""
"","","Walapane","","","","","","","","","","","","","","","",""
"","නුවරඑලිය","","","2022.12.09","171","653","","","","","160","","2","","","","",""
