"Kundasale","","2021.05.25-26","5","21","","","","","5","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","146","546","0","0","0","0","140","1","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","277","1097","0","0","0","1","199","1","0","0","0","0"
"","High Wind","2021:05:24","86","341","","","","","64","","","","",""
"","Heavy Rain","2021.05.25","2","7","","","","","2","","","","",""
"","Cutting Faliure","2021.05.24/25","10","35","","","","","3","","","","",""
"","Landslide Risk","2021.05.24","13","38","","","","1","","","","","",""
"Rathnapura","","","","","","","","","","","","","",""
"","Rock Fallen","2021.05.24","4","16","","","","","4","","","","",""
"","Flood","2021:05:24","535","2357","","1","","","8","","","","",""
"","Landslide Risk","2021:05:23","4","8","","","","","","","","","",""
"","High Wind","2021:05:25","27","102","","1","","","20","","","","",""
"Elapatha","Heavy Rain","2021.05.24","4","15","","","","","4","","","","",""
"","Lightning","2021.05.25","4","14","","","","","4","","","","",""
"","Flood","2021.05.25","94","378","","","","","","","","","",""
"","Landslide Risk","2021.05.24","8","47","","","","","1","","","","",""
"","High Wind","2021.05.24","70","283","","","","","70","","","","",""
"Kuruwita","","","","","","","","","","","","","",""
"","Heavy Rain","2021.05.24","2","9","","","","","2","","","","",""
"","Flood","2021.05.24","2","7","","","","","","","","","",""
"","Tree Fallen","2021:05:25","1","4","","","","","1","","","","",""
"Nivithigala","","","","","","","","","","","","","",""
"","High Wind","2021.05.25","14","55","","","","","7","","","","",""
"","Tree Fallen","2021.05.24-26","5","23","","","","","5","","","","",""
"Eheliyagoda","","","","","","","","","","","","","",""
"","High Wind","2021.05.26","14","59","","","","","14","","","","",""
"","High Wind","2021.05.25","14","51","","","","","15","","","","",""
"රත්නපුර","","","","","","","","","","","","","",""
"13
,uj;jpdGhp","","","","","","","","","","","","","",""
"","Heavy Rain","2021.05.25","4","16","","","","","4","","","","",""
"Pelmadulla
Rathnapura","","","","","","","","","","","","","",""
"","Cutting Faliure","2021.05.25","2","6","","","","","1","","","","",""
"","Flood","2021.05.25","46","174","","","","","46","","","","",""
"","High Wind","2021.05.24-26","57","241","","","","","57","","","","",""
"","Flood","2021.05.26","12","40","","","","","","","","","",""
"Kiriella","","","","","","","","","","","","","",""
"","Landslide Risk","2021.05.27","3","14","","","","","","","","","",""
"","Cutting Faliure","2021.05.24","1","4","","","","","1","","","","",""
"Kolonna","High Wind","2021.05.24-26","7","24","","","","","7","","","","",""
"","Heavy Rain","2021.05.25-26","4","11","","","","","4","","","","",""
"Ayagama","High Wind","2021.05.26","2","6","","","","","2","","","","",""
"ස්ත්‍බරගමුව පලාත","Flood","2021.05.26","11","49","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"","High Wind","2021.05.24-27","11","44","","","","","11","","","","",""
"Sabaragamuw","","","","","","","","","","","","","",""
"Kalwana","","","","","","","","","","","","","",""
"a","","","","","","","","","","","","","",""
"","Heavy Rain","2021.05.24-27","14","48","","","","","14","","","","",""
"","Cutting Faliure","2021.05.24","2","6","","","","","2","","","","",""
"Imbulpe","","","","","","","","","","","","","",""
"","High Wind","2021.05.24-26","23","98","","","","","21","","","","",""
