"","14","fk;g`h","","","","","","","","","","","","","","",""
"","","Gampaha","","","","","","","","","","","","","","",""
"","","","","High Wind &","","","","","","","","","","","","",""
"","","","Minuwangoda","","2021.11.07","","","","","","","10","","","","",""
"","","","","Heavy Rain","","","","","","","","","","","","",""
"","","","","High Wind, Heavy","","","","","","","","","","","","",""
"","","","Mahara","","2021.11.10","","","","","","","3","","","","",""
"","","","","Rain & Flood","","","","","","","","","","","","",""
"","","","","High Wind &","","","","","","","","","","","","",""
"","","","Jela","","2021.11.09","","","","","","","5","","","","",""
"","","","","Heavy Rain","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","360","1595","1","0","0","3","182","29","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","986","4171","1","0","0","4","243","30","0","0","0","0"
"","","","Baddegama","","","85","351","","","","","6","1","","","",""
"","","","Ambalangoda","","","1","4","","","","","1","","","","",""
"","","","Akmeemana","","","1","3","","2","","","2","","","","",""
"","","","Kadawathsathara","","","407","1905","","","","","7","","","","",""
"","","","Habaraduwa","","","150","660","","","","1","8","","","","",""
"","","ගාේල","","","","","","","","","","","","","","",""
"","","","Bope poddala","","","8","22","1","","","1","8","","","","",""
"","15","fhyp","","Heavy Rain","2021.11.08","","","","","","","","","","","",""
"","","","Waliwita divithura","","","2","5","","","","","2","","","","",""
"","","Galle","","","","","","","","","","","","","","",""
"","","","Gonupinuwala","","","7","21","","","","","5","","","","",""
"","","","Niyagama","","","1","4","","","","","1","","","","",""
"","","","Karandeniya","","","1","5","","","","","1","","","","",""
"","","","Balapitiya","","","11","35","","","","","","","","","",""
"","","","Hikkaduwa","","","1","3","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","675","3018","1","2","0","2","42","1","0","0","0","0"
"","","හම්බන්ලතාට","Thangalla","High Wind","2021.11.17","2","10","","","","","2","","","","",""
"","16","`k;ghe;Njhl;l","","","","","","","","","","","","","","",""
"දකුනු පලාත","","","Beliaththa","Lightning","2021.11.03","1","4","","","","","1","","","","",""
"","","Hambantota","","","","","","","","","","","","","","",""
"njd;","","","","","","","","","","","","","","","","",""
"khfhzk;","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","3","14","0","0","0","0","3","0","0","0","0","0"
"Southern","","","","","","","","","","","","","","","","",""
"","","","Thihagoda","","2021.11.09","6","24","","","","","6","","","","",""
"","","","Welipitiya","","","1","4","","","","","1","","","","",""
"","","","Mathara","","","10","44","","","","","10","","","","",""
"","","","Malimbada","","","7","30","","","","1","6","","","","",""
"","","","Pitabeddara","","","6","24","","","","","6","","","","",""
"","","","Dikwella","","","4","16","","","","","4","","","","",""
"","","මාතර","","","2021.11.05","","","","","","","","","","","",""
"","17","khj;jiw","Athuraliya","Heavy Rain","","1","5","","","","","1","","","","",""
"","","Matara","","","","","","","","","","","","","","",""
"","","","Devinuwara","","","3","12","","","","","3","","","","",""
"","","","Kotapola","","","8","32","","","","","8","","","","",""
"","","","Kaburupitiya","","","5","21","","","","","5","","","","",""
"","","","Hakmana","","","5","24","","","","","5","","","","",""
"","","","Kirinda","","2021.11.06","5","20","","","","","5","","","","",""
"","","","Akuressa","","2021.11.06","2","10","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","63","266","0","0","0","1","62","0","0","0","0","0"
