"","Weather Forecast for Main Cities","","","","2-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","30","26","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","32","25","95","70","Showers or thundershowers"
"Galle","31","26","95","75","Showers or thundershowers"
"Jaffna","33","24","85","55","Showers or thundershowers"
"Kandy","31","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","14","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","23","95","65","Showers or thundershowers"
"Trincomalee","30","25","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","32","25","95","70","Showers or thundershowers after 2.00p.m"
"","ප්‍රධාන  නගර සදො කාෙගුණ අනාවැකිය","","","","2023-05-02"
"","උෂ්ණත්වය(හස. අංශ්‍ක)","","සාහේක්ෂ ආර්ද්‍රතාවය(%)","",""
"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරොධ්‍පුරය","32","24","95","55","සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"මඩකලපුව","30","26","95","70","සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"නකොළඹ","32","25","95","70","වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"ගොල්ල","31","26","95","75","වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"යොපනය","33","24","85","55","වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"ම නුවර","31","21","95","65","සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"නුවරඑළිය","22","14","95","80","සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"රත්නපුරය","33","23","95","65","වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"ිකුණොමලය","30","25","95","70","සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"මේනොරම","32","25","95","70","සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"அனுராதபுரம்","32","24","95","55",""
"","","","","","மழை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"மட்டக்களப்பு","30","26","95","70",""
"","","","","","மழை பபய் யும்"
"வகாழும் பு","32","25","95","70","மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"காலி","31","26","95","75","மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"யாழ் ப்பாணம்","33","24","85","55","மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"கண் டி","31","21","95","65",""
"","","","","","மழை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"நுவவரலியா","22","14","95","80",""
"","","","","","மழை பபய் யும்"
"இரத்தினபுரி","33","23","95","65","மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"திருககாணமலை","30","25","95","70",""
"","","","","","மழை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"மன் னார்","32","25","95","70",""
"","","","","","மழை பபய் யும்"
