"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","31","25","95","75","වැසි වාර කිහිපයක්"
"මඩකලපුව","32","27","90","70","වැසි ස්වල්පයක්"
"හකාළඹ","30","26","90","70","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ගාල්ල","29","26","90","80","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"යාපනය","31","28","90","80","වැසි ස්වල්පයක්"
"ම නුවර","28","23","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","17","15","95","90","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","31","24","95","80","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ිකුණාමලය","31","27","85","70","වැසි ස්වල්පයක්"
