"","","khtl;lk ;","","","","FLk;gq;f","egHfs;","","Injured","Missin","","","","","","egHfs; 
FLk;gq;",""
"","","","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","if","",""
"","","District","","","","s;","People","","People","g","","","","","","fs; 
Persons",""
"","","","","","","","","","","","","Partiall","Small, Medium,","Damages to","Safety","",""
"","","","","","","","","","","","Fully","","","","","",""
"","","","","","","Families","","","","People","","","","","","Families",""
"","","","","","","","","","","","","y","Enterprises","critical","Location","",""
"","","","","","","","","","","","","","Damages","Infastructure","","",""
"","","","","","","","","","","","","","","","s","",""
"","","මඩකලපුව","Manmunnai west","Fire / High wind","2018.10.26","2","7","","","","1","1","","","","",""
"නැගෙනහිර","1","","","","","","","","","","","","","","","",""
"","","kl;lf;fsg;G","Koralaipattu South","Lightning","2018.10.25","1","4","","","","","","","","","",""
"පලාත","","","","","","","","","","","","","","","","",""
"","","Batticaloa","","","","","","","","","","","","","","",""
"","","","Eravur Pattu","Lightning","2018.10.20","3","11","","2","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","",""
"Eastern","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","6","22","0","2","0","1","1","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","6","22","0","2","0","1","1","0","0","0","0","0"
"","","","","Cutting Failure","2018.10.21","2","11","","","","","2","","","","",""
"","","","Nuwara Eliya","Flood","","15","55","","","","","","","","","",""
"","","","","","2018.10.22","","","","","","","","","","","",""
"","","","","Landslide","","7","14","","","","","7","","","","",""
"","","","Ambagamuwa","Cutting Failure","2018.10.21","1","4","","","","","","","","","",""
"","","","","","2018.10.21","6","23","","","","","4","","","1","4","14 Delpathkada community"
"","","","Haguranketha","Cutting Failure","","","","","","","","","","","","","Hall"
"","","නුවරඑලිය","","","","","","","","","","","","","","",""
"","","","","","2018.10.24","1","6","","","","","","","","","",""
"","2","Etnuypah","","","","","","","","","","","","","","",""
"","","","","","2018.10.21","2","7","","","","","2","","","","",""
"","","Nuwara Eliya","","Heavy Rain","","","","","","","","","","","","",""
"","","","","","2018.10.22","1","5","","","","","1","","","","",""
"","","","Kotmale","","","","","","","","","","","","","",""
"","","","","Rock Fallen","2018.10.23","2","10","","","","","","","","","",""
"","","","","Cutting Failure","2018.10.24","1","5","","","","","","","","","",""
"","","","","Cutting Failure","2018.10.24","9","33","","","","","","","","","",""
"","","","Walapane","","","","","","","","","","","","","",""
"","","","","Landslide Risk","2018.10.22","30","106","","","","","","","","1","11","35 Harasbedda Vidyalaya"
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","77","279","0","0","0","0","16","0","0","2","15","49"
"","","","Matale","","","9","42","","","","1","2","","","","",""
"","","මාතගේ","","","","","","","","","","","","","","",""
"","","","Ukuwela","","","2","10","","","","","2","","","","",""
"","3","khj;jis","","Heavy Rain","2018.10.20","","","","","","","","","","","",""
"","","","Naula","","","1","5","","","","","","","","","",""
"","","Matale","","","","","","","","","","","","","","",""
"","","","Abanhagakorale","","","1","4","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","13","61","0","0","0","1","5","0","0","0","0","0"
"මධ්‍යම","","","Delthota","","2018.10.20","15","67","","","","","5","","","","",""
"","","","","Cutting failure/","","","","","","","","","","","","",""
"පලාත/kj;jpa","","","","Flash Flood/","","","","","","","","","","","","",""
"","","","Kundasale","","2018.10.26","4","20","","","","","3","2","","","",""
"khfhzk;/","","","","Landslide Risk","","","","","","","","","","","","",""
"","","","Pasbage Korale","","2018.10.26","4","19","","","","","2","3","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","","","Gangawatakorale","Cutting Failure","2018.10.21","14","49","","","","","13","","","","",""
"","","","Poojapitiya","Rock Fallen","2018.10.20","2","9","","","","","2","","","","",""
"","","","Panvila","Landslide Risk","2018.10.21","36","125","","","","1","","","","1","35","120 Safe Location -"
"","","","","","","","","","","","","","","","","","Hathale Tamil school"
"","","","Medadumbara","Heavy Rain","2018.10.21","26","108","","","","","24","1","","","",""
"","","මහනුවර","Pathahewanheta","Cutting Failure","2018.10.20","1","7","","","","","1","","","","",""
"","4","fz;b","","","","","","","","","","","","","","",""
"","","","","Cutting failure/","","","","","","","","","","","","",""
"","","Kandy","","","","","","","","","","","","","","",""
"","","","Harispaththuwa","Tree Fallen /","2018.10.20/21","3","13","","","","","3","","","","",""
"","","","","Landslide Risk","","","","","","","","","","","","",""
"","","","Doluwa","Heavy Rain","2018.10.20","1","5","","","","","1","","","","",""
"","","","Pathadumbara","Cutting Failure","2018.10.20/21","6","26","","","","","6","","","","",""
"","","","Minipe","Cutting Failure","2018.10.20","6","28","","","","1","4","1","","","",""
"","","","Udapalatha","Cutting Failure","2018.10.19","5","18","","","","","4","1","","","",""
"","","","Ududumbara","Lightning","2018.10.24","1","2","","","","","1","1","","","",""
"","","","Hatharaliyadda","Tree Fallen","2018.10.24","2","10","","","","","2","1","","","",""
"","","","Akurana","Cutting Failure","2018.10.23","4","15","","","","","4","","","","",""
"","","","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","130","521","0","0","0","2","75","10","0","1","35","120"
