"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 10th June 2025 at 0900hrs","","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","","","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","","","","","","","tPLfs; Houses","","",""
"","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","Other Damages","miktplk; Safe Location",""
"","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","",""
"","","","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","",""
"","","","","","","මිය යෑම්","","පුද්ගලයින්","","කුඩා හා මධය","",""
"","","","ආපදාව","mdu;j;jk;","","","","","","ඉතා වැදගත් යටිතල","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","kuzq;f","","","","පරිමාණ වයාපාරික","ආරක්ිත",""
"","","","","","","","fhakil","fhzhky;","","","",""
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන  
පවුේ","NtW Fwpg;Gf;fs;"
"","","","","","","s;","e;NjhH","NghNdhH","","ස්ත්‍
රථාන சிறிய,","",""
"Province","","දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","","","","","","","","","","Remarks"
"","","","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","අර්ධ හානි","හානි mbg;gilf; 
நடுத்தர,","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","","","","","පූර්ණ හානි","","",""
"","","மாவட்டம்  
gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","Injured","Missing","gFjpasT","நிறுவனங் களி
fl;likg;Gf;fs;","egHfs; 
vz;zpf;i
FLk;gq;f",""
"","","","","commenced","","","","","KOik Fully","","",""
"","","","","","Families
People","","","","Partially","ன
்  சேதங் கள்
 
Damages to","s; 
Persons
f   No.",""
"","","District
Division","","","","","People","People","","","",""
"","","","","","","","","","","Small, Medium, 
critical","Families
of Safety",""
"","","","","","","","","","","Enterprises 
Infrastructure","Locations",""
"","","","","","","","","","","Damages","",""
"","1","Kadawathsathara
ගාල්ල/fhyp/Galle","Tree fallen","2025.06.10","1
3","","3","","","","",""
