"","","2023.09.27/29/30","","","","","","","","","","","",""
"Bandaragama","Flood/ Highwind","","35","145","","","","1","19","","","","",""
"","","2023.10.01","","","","","","","","","","","",""
"","","2023.09.29 / 30","","","","","","","","","","","",""
"","","ස්ත්‍හ","","","","","","","","","","","",""
"Beruwala","High Wind","","210","790","","","","","7","","","","",""
"","","2023.10.02/03/04/","","","","","","","","","","","",""
"","","06/07","","","","","","","","","","","",""
"","Flood/ Highwind","2023.09.27-30 /","","","","","","","","","","","",""
"Bulathsinhala","","","27","91","","","","","13","","","","",""
"","/Cutting Failture","2023.10.01","","","","","","","","","","","",""
"","","2023.09.28-30 /","","","","","","","","","","","",""
"Mathugama","High Wind","","10","28","","","","1","9","","","","",""
"","","2023.10.06","","","","","","","","","","","",""
"","","2023.09.29-30 ස්ත්‍හ","","","","","","","","","","","",""
"Millaniya","Flood","","275","1003","","","","","11","","","","",""
"","","2023.10.02/03","","","","","","","","","","","",""
"ළුතර","","","","","","","","","","","","","",""
"","","2023.09.29 ස්ත්‍හ","","","","","","","","","","","",""
"Agalawattha","High Wind","","6","23","","","","","6","","","","",""
"4
fSj;Jiw","","2023.10.01","","","","","","","","","","","",""
"Kalutara","","","","","","","","","","","","","",""
"Horana","High Wind","2023.09.29","2","10","","","","","2","","","","",""
"","","2023.09.29 ස්ත්‍හ","","","","","","","","","","","",""
"Walallavita","High Wind","","7","23","","","","","2","","","","",""
"","","2023.10.01 /07","","","","","","","","","","","",""
"","","2023.09.29-30 ස්ත්‍හ","","","","","","","","","","","",""
"Ingiriya","Flood","","16","47","","","","","11","","","","",""
"","","2023.10.01","","","","","","","","","","","",""
"","","2023.09.29-30,","","","","","","","","","","","",""
"Kalutara","High Wind","","301","1136","","","","1","14","","","","",""
"","","2023.10.03 /06","","","","","","","","","","","",""
"","","2023.09.29-30,","","","","","","","","","","","",""
"Dodangoda","Flood","","47","170","","","","1","18","","","","",""
"","","2023.10.01/02/06","","","","","","","","","","","",""
"","","2023.09.30,","","","","","","","","","","","",""
"Madurawela","Flood","","47","161","","","","","36","2","","","",""
"","","2023.10.01","","","","","","","","","","","",""
"Panadura","Flood","2023.10.01","99","387","","","","","19","","","","",""
"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","1082","4014","0","0","0","4","167","2","0","0","0","0"
"Kelaniya","Flood","2023.10.01","","","","","","","2","","","","",""
"Gampaha","Flood","2023.09.30","1","5","","","","","14","","","","",""
"Attanagalla","Tree Fallen","2023.10.03","","","","","","","8","","","","",""
"Dompe","Flood","2023.09.30","","","","","","","2","","","","",""
"","","","","","","","","","","","","","","1. විජය කුමාරතුංග"
"","","","","","","","","","","","","","","ප්‍රජාශාලාව"
"Wattala
ගම්පහ","Flood","2023.09.30","771","3101","","","","","3","","","2","20","73"
"","","","","","","","","","","","","","","2. උස්ත්‍රවැටලකයියාව"
"fk;g`h  
5","","","","","","","","","","","","","","ශා.මරියා විදුහල"
"Gampaha
Minuwangoda","Rain & Wind","2023.09.30","","","","","","","9","","","","",""
"Biyagama","Flood","2023.10.01","2","7","","","","","4","","","","",""
"Ja-Ela","Flood","2023.10.02","10","50","","","","","4","","","","",""
"Mahara","Flood","2023.10.07","1","4","","","","1","12","","","","",""
"Meerigama","Wind","2023.10.01","2","4","","","","","6","","","","",""
"Negombo","Flood","2023.10.04","","","","","","","1","","","","",""
"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","787","3171","0","0","0","1","65","0","0","2","20","73"
"පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","","","1942","7486","0","0","0","6","234","2","1","2","20","73"
"Akuressa","","","","","","","","","","","","","",""
"","","","20","72","","","","11","26","","","","",""
"Thihagoda","","","664","2570","","","","","37","","","","",""
"Malimbada","","","99","335","","","","","13","","","1","3","11 Kadduwa Sri"
"","","","","","","","","","","","","","","Wardanaramaya"
"Devinuwara","","","285","977","","","","","45","","","","",""
"Weligama","","","158","650","","","","","20","","","1","16","69 Polathumodara"
"","","","","","","","","","","","","","","Nikodyarama Temple"
"Kamburupitiya","","","267","1030","","","","","35","","","","",""
"මොතර","","","","","","","","","","","","","",""
"Athuraliya","","","65","249","","","","","15","","","","",""
"khj;jiw   
6","","2023.09.28 to","","","","","","","","","","","",""
"Kirinda","Flood","","40","154","","","","","34","","","","",""
"Matara","","2023.10.09","","","","","","","","","","","",""
"Pasgoda","","","10","35","","","","","10","","","","",""
"Hakmana","","","71","273","","","","","71","","","1","16","72"
"Matara","","","1099","3716","","","","6","97","","","5","180","566"
"Pitabeddara","","","32","117","","","","","18","","","","",""
"Mulatiyana","","","19","77","","","","","11","","","1","5","20 Erellawala Community"
"","","","","","","","","","","","","","","Hall"
"Kotapola","","","9","45","","","","","7","","","","",""
"Dickwella","","","89","327","","","","","89","","","","",""
"Welipitiya","","","30","107","","","","2","21","","","","",""
"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","2957","10734","0","0","0","19","549","0","0","9","220","738"
