"","Medadumbara","Cutting Faliure","2023.12.31/2024.01.01","38","138","","","","","38","","","","",""
"","Ududumbara","Heavy Rain","2023.12.31/2024.01.01","68","252","","","","4","9","","","","",""
"","","","2023.12.28 to","","","","","","","","","","","",""
"","Minipe","Heavy Rain","","37","140","1","","","","37","","","1","2","7"
"","","","2024.01.01","","","","","","","","","","","",""
"","GagawataKoralaya","Heavy Rain / Wind","2023.12.31","9","35","","","","","9","","","","",""
"","Yatinuwara","Heavy Rain","2023.12.28","1","4","","","","","1","","","","",""
"","Panwila","Heavy Rain / Wind","2023.12.29 to 31","9","27","","","","","9","","","","",""
"","නුවර","","","","","","","","","","","","","",""
"","GagaIhalaKoralaya","Heavy Rain","2023.12.25/24","4","17","","","","","4","","","","",""
"10","fz;b","","","","","","","","","","","","","",""
"ධ්‍ය  පලාත","","","","","","","","","","","","","","",""
"","Kandy
Pathahewaheta","Heavy Rain","2023.12.31","38","150","","","","","9","1","","1","10","51"
"kj;jpa khfhzk;","","","","","","","","","","","","","","",""
"Central","Deltota","Heavy Rain","2023.12.30","7","25","","","","","7","","","","",""
"","Doluwa","High Wind","2023.12.30","2","7","","","","","2","","","","",""
"","Kundasale","Cutting Faliure","2023.12.31","5","29","","","","","5","","","","",""
"","Udunuwara","Heavy Rain / Wind","2023.12.30","5","25","","","","","5","","","","",""
"","Pathadumbara","Heavy Rain","2023.12.28","1","2","","","","","1","","","","",""
"","Pasbagekoralaya","High Wind","2023.12.28","2","10","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","226","861","1","0","0","4","138","1","0","2","12","58"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","404","1416","1","0","0","4","233","2","0","6","96","304"
"","Ipalogama","Flood","2023.12.30","2","9","","","","","","","","","",""
"","අනුරාධ්‍පුර","","","","","","","","","","","","","",""
"උතුරු ැද පලාත 
11","m.Guk;  
Galnewawa","Flood","2023.12.30","5","24","","","","","","","","","",""
"tlkj;jpa","Anuradhapura","","","","","","","","","","","","","",""
"","Palagala","Heavy Rain","2023.12.30","2","8","","","","","2","","","","",""
"khfhzk; North","","","","","","","","","","","","","","",""
"Central","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","9","41","0","0","0","0","2","0","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","9","41","0","0","0","0","2","0","0","0","0","0"
"","Mundalama","","","81","315","","","","","1","","","","",""
"","Anamaduwa
පුත්තල","","","1","4","","","","","1","","","","",""
"12","","Heavy Rain / Flood","2024.01.01","","","","","","","","","","","",""
"","Gj;jsk;  Puttalam
Nawagaththegama","","","2","7","","","","","2","","","","",""
"","Pallama","","","1","1","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","85","327","0","0","0","0","5","0","0","0","0","0"
"","Polgahawela","High Wind","2023.12.27","1","4","","","","","1","","","","",""
"","Wariyapola","Heavy Rain / Wind","2023.12.30","1","5","","","","","1","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","",""
"","Alawuwa","Heavy Rain / Wind","2023.12.30","1","2","","","","","1","1","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","",""
"","Galgamuwa","Heavy Rain","2023.12.29","2","8","","","","","","","","","",""
"North Western","කුරුනෑගල","","","","","","","","","","","","","",""
"13","FUdhfy; 
Bingiriya","High Wind","2023.12.28","1","3","","","","","1","","","","",""
"","Kurunegala","","","","","","","","","","","","","",""
"","Ridigama","Heavy Rain","2023.12.30","4","17","","","","","4","","","","",""
"","Ganewaththa","Heavy Rain","2023.12.29","1","4","","","","","1","","","","",""
"","Wariyapola","Lightning","2023.12.31","1","5","","","","","","1","","","",""
"","Kurunegala","High Wind","2024.01.01","3","10","","","","","3","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","15","58","0","0","0","0","12","2","0","0","0","0"
