"","","High Wind","2022.01.02","","","","","","","","","","",""
"යොප ය 
tl khfhzk;","","","","","","","","","","","","","",""
"","Delft","","","1","2","","","","","1","","","",""
"2
Northen","aho;g;ghzk;","","","","","","","","","","","","",""
"","Sandilippay","Flood","2022.01.01","1","5","","","","","1","","","",""
"Jaffna","","","","","","","","","","","","","",""
"","Karainagar","High Wind","2022.01.02","1","6","","","","","1","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","18","0","0","0","0","4","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","135","426","0","0","0","0","4","0","0","0","0"
"","Koralai Pattu North","High wind","2022.01.02","4","16","","","","","4","","","",""
"","Koralai Pattu","Lightning","2022.01.03","4","13","","","","","","","","",""
"","Eravur Pattu","","2022.01.03","183","692","","","","","","","","",""
"මඩකලපුව","","","","","","","","","","","","","",""
"","Manmunai Pattu","","2022.01.04","2","10","","","","","","","","",""
"3","kl;lf;fsg;G","","","","","","","","","","","","",""
"Batticaloa","Manmunai South","","","","","","","","","","","","",""
"","","Flood","2022.01.04","23","74","","","","","","","","",""
"","West","","","","","","","","","","","","",""
"","Manmunai South &","","","","","","","","","","","","",""
"ැනෙ හිර","","","2022.01.05","1","6","","","","","","","","",""
"","Eravur Pattu","","","","","","","","","","","","",""
"පලොත","","","","","","","","","","","","","",""
"fpof;F","Porativu Pattu","","2022.01.04","18","60","","","","","1","","","",""
"Eastern","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","235","871","0","0","0","0","5","0","0","0","0"
