"","","","","","","",""
"","Locations for Potential Risk  
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ   fdjpahd mghaKs;s ,lq;fs;","","","","","",""
"","","","","","","",""
"","District","Level 1 (Yellow)","","Level 2 (Amber)","","Level 3 (Red)",""
"","","","","","","",""
"","Colombo","D
Seethawaka 
ivisional Secretariat  
Division(s) (DSD) and","","","","",""
"","","surrounding areas.","","","","",""
"","","","","","","",""
"","","","","","","",""
"","Kalutara","Ingiriya and","","","","",""
"","","Horana","","","","",""
"","","D","","","","",""
"","","ivisional Secretariat  
Division(s) (DSD) and","","","","",""
"","","surrounding areas.","","","","",""
"","","","","","","",""
"","","","","","","",""
"","Kegalle","D
Dehiowita 
ivisional Secretariat","","","","",""
"","","Division(s) (DSD) and","","","","",""
"","","","","","","",""
"","","surrounding areas.","","","","",""
"","","","","","","",""
"","Nuwara Eliya","Kotmale","","","","",""
"","","D
ivisional Secretariat  
Division(s) (DSD) and","","","","",""
"","","surrounding areas.","","","","",""
"","","","","","","",""
"","Ratnapura","Ratnapura","","","","",""
"","","D
ivisional Secretariat","","","","",""
"","","Division(s) (DSD) and","","","","",""
"","","surrounding areas.","","","","",""
"","","","","","","",""
"","","","","","","",""
"","Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down. 
*newly added with the last update 
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas","","","","","",""
"","and given weather forecast by meteorological department of Sri Lanka","","","","","",""
"","","","","","","",""
