"","","khtl;lk ;","","","","FLk;gq;f","","egHfs;","","Injured","Missin","","","","","","","","","FLk;gq;","egHfs;"
"/Eastern/","","Batticaloa","","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","","1","4","0","0","","0","0","1","","0","0","","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","","1","4","0","0","","0","0","1","","0","0","","0","0","0"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","Cutting failure","","","18","80","","","","","","","","","","","1","16","64  Maussaella"
"","","","","","2018.09.26 / 30","","","","","","","","","","","","","","","","Community hall"
"","","නුවරඑලිය","","","","","","","","","","","","","","","","","","",""
"","","","Nuwara Eliya","High Wind","2018.09.30","","1","2","","","","","","1","","","","","","",""
"","4","Etnuypah","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","Nuwara Eliya","","","2018.10.03","","28","121","","1","","","","6","","","","","1","13","58 Muttumani Amman"
"","","","","Warnning","","","","","","","","","","","","","","","","","Kovila"
"","","","Kothmale","Cutting failure","2018.10.03","","2","9","","","","","","2","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","","49","212","0","1","","0","0","9","","0","0","","2","29","122"
"","","","Pasbage Korale","Lightning","2018.09.28","","1","7","","2","","","","1","","","","","","",""
"","","","","Flood","","","15","83","","","","","","","","","","","","",""
"","","","Akurana","","","","","","","","","","","","","","","","","",""
"","","","","Cutting failure","","","1","6","","","","","","1","","","","","","",""
"මධ්‍යම","","","","","","","","","","","","","","","","","","","","",""
"","","","","Flood","","","3","10","","","","","","1","","","","","","",""
"පලාත/kj;jpa","","","Poojapitiya","","2018.09.29","","","","","","","","","","","","","","","",""
"khfhzk;/","","","","High Wind","","","1","4","","","","","1","","","","","","","",""
"Central","","නුවර","","Flood","","","2","9","","","","","","1","","","","","","",""
"","","","Harispattuwa","","","","","","","","","","","","","","","","","",""
"","5","fz;b","","Flood","","","1","6","","","","","","1","","","","","","",""
"","","Kandy","Panvila","Cutting failure","2018.09.26","","1","4","","","","","","1","","","","","","",""
"","","","","High Wind","","","1","4","","","","","","1","","","","","","",""
"","","","Uda Palatha","","","","","","","","","","","","","","","","","",""
"","","","","Lightning","","","3","13","","","","","","2","","","","","","",""
"","","","Kundasale","High Wind","2018.09.27","","1","5","","","","","","1","","","","","","",""
"","","","Ududumbara","Fire","2018.09.28","","1","2","","","","","1","","","","","","","",""
"","","","Doluwa","Lightning","2018.09.27/28","","3","13","","","","","","3","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","","34","166","0","2","","0","2","13","","0","0","","0","0","0"
