"","District
Division","","Families","People","","","g","","","","","","","","","f   No.","s;","Persons",""
"","","","","","","People","","","Fully","","Partiall","Small, Medium,","","Damages to","","","","",""
"","","","","","","","People","","","","","","","","","of Safety","Families","",""
"","","","","","","","","","","","y","Enterprises","","critical","","","","",""
"","","","","","","","","","","","","","","","","Locations","","",""
"","","","","","","","","","","","","Damages","","Infrastructure","","","","",""
"","මුලතිව්","","","","","","","","","","","","","","","","","",""
"","1
Maritimepattu
High Wind
Ky;iyj;jPT","2020.11.25","1","4","","","","","","","1","","","","","","","",""
"","Mulaitivu","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","4","0","0","","0","","0","1","","0","","0","0","","0","0"
"","කිලින ොච්චිය","","","","","","","","","","","","","","","","","",""
"","2
Kandawalai
High wind
fpspnehr;rp","2020.11.24","1","2","","","","","","","1","","","","","","","",""
"","Killinochchi","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","2","0","0","","0","","0","1","","0","","0","0","","0","0"
"","","2020.11.23","11","26","","","","","","","11","","","","","","","",""
"","Pointpedro","2020.11.24","5","20","","","","","","","5","","","","","","","",""
"","","2020.11.25","12","42","","","","","","","12","","","","","","","",""
"උතුරු පලොත","","","","","","","","","","","","","","","","","","",""
"","Karainagar","2020.11.24","1","7","","","","","","","1","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","","","","","","",""
"Northen","Karaveddy","2020.11.24","42","164","","","","","","","41","","1","","","","","",""
"","යොප ය","","","","","","","","","","","","","","","","","",""
"","Tellippalai","2020.11.25","1","5","","","","","","1","","","","","","","","",""
"","3
Flood & Strong wind
aho;g;ghzk;","","","","","","","","","","","","","","","","","",""
"","Uduvil","2020.11.25","1","4","","","","","","","1","","","","","","","",""
"","Jaffna","","","","","","","","","","","","","","","","","",""
"","Kayts","2020.11.24","3","8","","","","","","","3","","","","","","","",""
"","Maruthankerny","2020.11.25","1","5","","","","","","","","","","","","","","",""
"","Chankanai","2020.11.24","","","","","","","","","","","","","1","","","",""
"","Chavakachcheri","2020.11.25","5","14","","","","","","","5","","","","","","","",""
"","Kopay","2020.11.24","1","2","","","","","","","1","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","83","297","0","0","","0","","1","80","","1","","1","0","","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","85","303","0","0","","0","","1","82","","1","","1","0","","0","0"
"","හම්බනනතොට","","","","","","","","","","","","","","","","","",""
"","4
Beleatta
High Wind
ghe;Njhl;il","2020.11.23","1","2","","","","","","","1","","","","","","","",""
"දකුනු පලොත   njd;","","","","","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","2","0","0","","0","","0","1","","0","","0","0","","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","2","0","0","","0","","0","1","","0","","0","0","","0","0"
"","නුවරඑලිය","","","","","","","","","","","","","","","","","",""
"","5
Walapane
Rock Fallen
Etnuypah","2020.11.16","14","47","","","","","","","","","","","","1","","8","29 Navakaarama Temple"
"","Nuwara Eliya","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","14","47","0","0","","0","","0","0","","0","","0","1","","8","29"
"මධ්‍යම පලොත","","","","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","මහනුවර       
Minipe","2020.11.23","1","5","","","","","","","1","","","","","","","",""
"Central","6
fz;b       
High Wind","","","","","","","","","","","","","","","","","",""
"","Udunuwara
Kandy","2020.11.22","1","6","","","","","","","1","","","","","1","","1","6"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","11","0","0","","0","","0","2","","0","","0","1","","1","6"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","16","58","0","0","","0","","0","2","","0","","0","2","","9","35"
"","Haputale
Landslide Risk","2020.11.19","44","174","","","","","","","","","","","","1","","44","174 Galkanda Tamil Vidyalaya"
"","බදුල්ල","","","","","","","","","","","","","","","","","",""
"","7
gJs;is 
Haaliela
High wind","2020.11.21","1","1","","","","","","","1","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","","","","",""
"","Badulla","","","","","","","","","","","","","","","","","",""
"Cth khfhzk","Meegahakiula
High wind","2020.11.22","2","11","","","","","","","2","","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","47","186","0","0","","0","","0","3","","0","","0","1","","44","174"
