"","","","","","","","People","","Fully","Partiall","","Damages to","of Safety","",""
"","","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","","People","","","","","","Families",""
"","","","","","","","","","","y","","critical","Location","",""
"","","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","","Damages","Infrastructure","s","",""
"","රත්නපුර","","","","","","","","","","","","","",""
"","1
,uj;jpdGhp","Imbulpe
Drought","2019.06.12","723","2749","","","","","","","","","",""
"සබරගමුල ප඼෈ත","","","","","","","","","","","","","","",""
"rg;ufKt","Rathnapura","","","","","","","","","","","","","",""
"Sabaragamuwa","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","723","2749","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","723","2749","0","0","0","0","0","0","0","0","0","0"
"","","Arachchikattuwa","","1700","6035","","","","","","","","","",""
"","","","2019.01.24","","","","","","","","","","","",""
"","","Mundalama","","1932","6490","","","","","","","","","",""
"","පුත්ත඼ම","Nawagaththegama","","448","1280","","","","","","","","","",""
"","2
Gj;jsk","Wanathavilluwa
Drought","","455","1572","","","","","","","","","",""
"","Puttalam","Karuwalagaswewa","2019.06.28","2048","6023","","","","","","","","","",""
"","","Anamaduwa","","1058","3286","","","","","","","","","",""
"","","Pallama","","1823","6173","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","9464","30859","0","0","0","0","0","0","0","0","0","0"
"","","Ambanpola","2019.04.03","892","2639","","","","","","","","","",""
"","","Galgamuwa","2019.04.11","655","2682","","","","","","","","","",""
"","","Udubaddawa","2019.05.08","126","376","","","","","","","","","",""
"ලයඹ ප඼෈ත","","Kotawehera","2019.05","141","421","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","",""
"","","Polpithigama","2019.05 සිට","4671","14173","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"","","Kuliyapitiya - East","2019.05.15","1291","4865","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","",""
"","කුරුණ්ග඼","Maaspotha","2019.04 සිට","334","1248","","","","","","","","","",""
"","3
FUdhfy;","Drought
Weerabugedara","2019.06.14","404","1464","","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","","","",""
"","","Giribawa","2019.5.28","1732","4839","","","","","","","","","",""
"","","Mawathagama","2019.05.15","200","680","","","","","","","","","",""
"","","Ahetuwewa","2019.06.06","1313","3400","","","","","","","","","",""
"","","Narammala","2019.06.04","145","1009","","","","","","","","","",""
"","","Bingiriya","2019.07 සිට","1822","5715","","","","","","","","","",""
"","","Panduwasnuwara West","2019.07.24","400","1550","","","","","","","","","",""
"","","Bamunakotuwa","2019.07.29","140","435","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","14266","45496","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","23730","76355","0","0","0","0","0","0","0","0","0","0"
"","ලව්නිය෈ල","Vavuniya North","2019.03.11","161","511","","","","","","","","","",""
"","4
tTdpah","Drought
vengalacheddikulam","2019.07.22","343","1194","","","","","","","","","",""
"","Vavuniya","Vavuniya","2019.07.08","527","1530","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","1031","3235","0","0","0","0","0","0","0","0","0","0"
"","","Delft","2019.03.18","1031","3071","","","","","","","","","",""
"","","Velanai","2019.03.21","2816","9945","","","","","","","","","",""
"","","Kayts","","2898","9563","","","","","","","","","",""
"","","Karainagar","","2992","8990","","","","","","","","","",""
"","ය෈පනය","Maruthankarny","2019.03.18","1270","3779","","","","","","","","","",""
"","5
aho;g;ghzk;","Drought
Karaveddi","","564","1868","","","","","","","","","",""
"","Jaffna","Chavakachcheri","","3361","11484","","","","","","","","","",""
"","","Chankanai","","6267","21206","","","","","","","","","",""
"","","","2019.06.10","","","","","","","","","","","",""
"","","Sandilipay","","1041","3345","","","","","","","","","",""
"","","Kopay","2019.08.07","420","1434","","","","","","","","","",""
"","","PointPedro","2019.04.08","595","1988","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","23255","76673","0","0","0","0","0","0","0","0","0","0"
