"","","","","","","","","","Page 2","","","","","","","",""
"","","","Dimbulagala","","","1899","6424","","","","","","","","","",""
"","","","","","2020.06.17","","","","","","","","","","","","Distibuting drinking water"
"","","්පෝලොනනරුව","Welikanda","","","4361","13721","","","","","","","","","",""
"උතුරුමැද පලොත","6","nghyd;dWit","","Drought","","","","","","","","","","","","",""
"tlkj;jpa","","Polonnaruwa","Hingurakgoda","","","250","975","","","","","","","","","",""
"khfhzk;","","","","","2020.08.27","","","","","","","","","","","",""
"North Central","","","Madirigiriya","","","370","1287","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","6880","22407","0","0","0","0","0","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","6880","22407","0","0","0","0","0","0","0","0","0","0"
"","","","Welioya","","2020.04.15","430","1540","","","","","","","","","",""
"","","මුලතිව්","","","","","","","","","","","","","","","Distibuting drinking water"
"","7","Ky;iyj;jPT","Puthukudiyiruppu","Drought","2020.05.01","1986","6398","","","","","","","","","",""
"","","Mulaitivu","","","","","","","","","","","","","","",""
"","","","Thunukkai","","2020.07.01","1425","4984","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","3841","12922","0","0","0","0","0","0","0","0","0","0"
"","","","Karaveddy","","2020.07.06","232","632","","","","","","","","","",""
"උතුරු පලොත","","","","","","","","","","","","","","","","",""
"","","","Delft","","2020.03.24","1031","3071","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","","","","",""
"","","","Karainagar","","2020.03.27","2760","8297","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","","","",""
"","","යොපනය","","","","","","","","","","","","","","",""
"","","","Kayts","","2020.03.27","3175","11391","","","","","","","","","",""
"","8","aho;g;ghzk;","","Drought","","","","","","","","","","","","",""
"","","","Velanai","","2020.04.15","2411","7928","","","","","","","","","",""
"","","Jaffna","","","","","","","","","","","","","","",""
"","","","Chavakachcheri","","2020.04.16","3361","11484","","","","","","","","","",""
"","","","Chankanai","","2020.04.23","3047","10315","","","","","","","","","",""
"","","","Maruthankerny","","2020.06.15","1162","4636","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","17179","57754","0","0","0","0","0","0","0","0","0","0"
"","","","Karachchi","","2020.07.08","608","2027","","","","","","","","","",""
"","","කිලි්නොච්චිය","","","","","","","","","","","","","","",""
"","9","fpspnehr;rp","Poonakary","Drought","2020.04.22","2509","8290","","","","","","","","","",""
"","","Killinochchi","","","","","","","","","","","","","","",""
"","","","Pachchilaipalai","","2020.05.41","465","1434","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","3582","11751","0","0","0","0","0","0","0","0","0","0"
"","","","Nanattan","","","262","768","","","","","","","","","",""
"","","මනනොරම","Musali","","","3260","12810","","","","","","","","","",""
"උතුරු පලොත","10","kd;dhH","","Drought","2020.07.07","","","","","","","","","","","",""
"tl khfhzk","","Mannar","Manthai West","","","5623","20500","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","","","",""
"","","","Madhu","","","237","727","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","9382","34805","0","0","0","0","0","0","0","0","0","0"
"","","වව්නියොව","Vavuniya  North","","2020.06.18","46","173","","","","","","","","","",""
"","11","tTdpah","","Drought","","","","","","","","","","","","",""
"","","Vavuniya","Vengala Cheddikulam","","2020.06.17","40","130","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","86","303","0","0","0","0","0","0","0","0","0","0"
