"","","","","","","","","","","","","","","","",""
"","","Walasmulla","Heavy Rain","2019.10.25","30","111","","","","","21","","","","","4"
"","","Beliatta","Flash Flood","2019.10.29","35","129","","","","1","33","1","","","",""
"","","Katuwana","High Wind","2019.10.29-30","8","29","","","","1","5","2","","","",""
"","","Tangalle","Heavy Rain","2019.10.28-29","242","860","","","","","3","","","","",""
"","","Lunugamwehera","Flash Flood","2019.10.28","5","18","","","","","5","","","","",""
"","හම්බන්මතාට","","","","","","","","","","","","","","",""
"","","Thissamaharama","High Wind/ Flash","2019.10.28-29","56","195","","","","","2","","","1","38","120"
"","8
`k;ghe;Njhl;ilH","","","","","","","","","","","","","","",""
"","","Okewela","Flash Flood","2019.10.28","14","53","","","","","14","","","","",""
"","ambantota","","","","","","","","","","","","","","",""
"","","Weerakatiya","Flash Flood","2019.10.28-29","85","301","","","","","","","","","",""
"","","Hambantota","Flash Flood","2019.10.28-29","350","1163","","","","7","28","5","","2","18","70"
"","","","Flash Flood","2019.10.28-29","141","493","","","","","","","","","",""
"","","Ambalantota","","","","","","","","","","","","","",""
"","","","Fire","2019.11.03","","","","","","","","1","","","",""
"","","Agunukolapelassa","High wind","2019.10.28","7","30","","","","1","2","4","","","",""
"දකුනු පලාත  njd;","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","973","3382","0","0","0","10","113","13","0","3","56","190"
"khfhzk;","","Mulatiyana","","","130","602","1","","","","130","","","","",""
"Southern","","Pasgoda","","","51","212","","","","","6","20","","","",""
"","","Dickwella","","","11","39","","","","","6","2","","","",""
"","","Hakmana","","","36","142","","","","","36","","","","",""
"","","Dewinuwara","","","13","42","","1","","","13","","","","",""
"","මාතර","","","","","","","","","","","","","","",""
"","","Kamburupitiya","","2019.10.25,26,2","118","353","","","","1","10","","","","",""
"","9
khj;jiw","","Heavy Rain","","","","","","","","","","","","",""
"","","Pitabeddara","","7,28,29,30","3","13","","","","","3","","","","",""
"","Matara","","","","","","","","","","","","","","",""
"","","Athuraliya","","","3","13","","","","","3","","","","",""
"","","Kirinda","","","19","82","","","","","15","4","","","",""
"","","Matara","","","6","43","","","","4","2","","","1","6","27"
"","","Akuressa","","","7","28","","","","","1","","","","",""
"","","Thihagoda","","","95","327","","","","","3","","","1","1","5"
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","492","1896","1","1","0","5","228","26","0","2","7","32"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1465","5278","1","1","0","15","341","39","0","5","63","222"
"","","Biyagama","Flood","2019.10.23","5","18","","","","","5","","","","",""
"","","","Heavy Rain","2019.10.20","","","","","","","2","","","","",""
"","","Divulapitiya","","","","","","","","","","","","","",""
"","","","Lightning","2019.10.23","3","15","","","","","3","","","","",""
"","","Aththanagalla","","2019.10.24","1","4","","","","","1","","","","",""
"","","Kelaniya","","2019.10.22","110","495","","","","","","","","","",""
"","","Waththala","","2019.10.23","416","1723","","","","1","8","","","","",""
"","ගම්පහ","","Flood","","","","","","","","","","","","",""
"","10","","","2019.10.21","","","","","","1","1","1","","","",""
"Western","","","","","","","","","","","","","","","",""
"","fk;g`h Gampaha","","","","","","","","","","","","","","",""
"Nky; khfhzk","","Dompe","","2019.10.23","3","10","","","","","2","","","","",""
";බස්ත්‍රනාහිර පලාත","","","","2019.10.24","1","3","","","","","1","","","","",""
"","","Gampaha","Flood","2019.10.24","6","278","","","","","2","","1","","",""
"","","","Rock Fallen","2019.10.23","","","","","","","1","","","","",""
"","","Mahara","","","","","","","","","","","","","",""
"","","","Lightning","2019.10.22","","","","","","","1","","","","",""
"","","Minuwangoda","Heavy Rain","2019.10.24","11","43","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","556","2589","0","0","0","2","27","1","1","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","556","2589","0","0","0","2","27","1","1","0","0","0"
"","මන්නාරම","","","","","","","","","","","","","","",""
"","11","Mannar Town","Flood","2019.10.25","95","356","","","","","","","","1","50","195"
"","kd;dhH     Mannar","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","95","356","0","0","0","0","0","0","0","1","50","195"
"","යාපනය","Velanai","Mine Cyclone","2019.10.27","10","34","","","","1","9","","","","",""
"උතුරු පලාත","12
aho;g;ghzk;","Karainagar","","2019.10.28","11","40","","","","","11","","","","",""
"","","","Flood","","","","","","","","","","","","",""
"/tl khfhzk;","Jaffna","Jaffna","","2019.10.24","25","93","","","","","25","","","","",""
"Northen","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","46","167","0","0","0","1","45","0","0","0","0","0"
"","වව්නියාව","","","","","","","","","","","","","","",""
"","13","Vavuniya","Fire","2019.11.01","1","4","","","","","","","","","",""
"","tTdpah Vavuniya","","","","","","","","","","","","","","",""
