"","තත්ත්ව වාර්තාව  - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/   Situation Report- Sri Lankaදිනය /jpfjp / Date : 14th March 2021 at 1800hrs","","","","","","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","",""
"","","","","බලපෑමට ලක්වු","","","","","","","","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப்","","","","","","","","Nrjkile;j","","","ලවනත් හානි பிற பாதிப்புகள்","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","","ghjpf;fg;gl;l","","","","","","","","","","","",""
"","","","ආරම්භක","","","","","","tPLfs; Houses","","","Other Damages","","","miktplk; Safe Location",""
"","பிரிவு Administrative purview","","","Affected","","","","","","","","","","","",""
"","","","","","","","තුවාලවු","අතුරුදහ","","","","","","","",""
"","","","දිනය","","","","","","Damaged","","","","","","",""
"","","","","","","","පුද්ගලයින්","න්වූ","","","","","","","",""
"","","","mdu;j;jk;","","","","","","","","කුඩා හා මධය","","","","",""
"","","","","","","මිය යෑම්","","පුද්ගලයින්","","","","","","","",""
"පළාත","","ආපදාව","","","","","","","","","","","","","",""
"","","","Muk;gpj;j","","","kuzq;f","fhaki","fhzhky;","","","පරිමාණ වයාපාරික","","","","","ලවනත් කරුණු                 NtW"
"","","","","","","","","","","","","","ඉතා වැදගත් යටිතල","ආරක්ිත","",""
"khfhzk;","#","mdHj;jk","","","","","","","","","","","","","",""
"","","","jpfjp","","","s;","le;NjhH","NghNdhH","","","ස්ත්‍
රථාන சிறிய,","","","","","Fwpg;Gf;fs; Remarks"
"","ප්‍රා.ලේ. ලකා","","","","","","","","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","පවුේ",""
"Province","","","","පවුේ","","","","","පූර්ණ","","","","","","",""
"","දිස්ත්‍රික්කය","Disaster","","","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","","","","",""
"","","","Date of","","","","","","","","","","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","gpuNjr nra.gp","","","ස්ත්‍ංඛ්‍යාව","","","Injured","Missing","හානි","gFjpas","நிறுவனங் க","","","","",""
"","மாவட்டம்","","","","egHfs;","","","","","","","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","commence","FLk;gq;fs;","","","","","KOik","T","ளின்","","","","",""
"","DS","","","","People","","People","People","","","","","Damages to","f   No.","s;","Persons"
"","District","","","Families","","","","","Fully","Partially","சேதங் கள்","","","","",""
"","Division","","d","","","","","","","","","","critical","of Safety","Families",""
"","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","","","","","","Infrastructure","Locations","",""
"","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","Damages","","","","",""
"","නුෙරඑලිය  
Nuwara Eliya","Land slide Risk","2020.12.21","3","14","","","","","","","","","1","3","14 Concordia GN Wetherset"
"","","","","","","","","","","","","","","","","Hospital"
"මධයම පලාත","1
Etnuypah","","","","","","","","","","","","","","",""
"kj;jpa","Nuwara Eliya
Walapane","Fire","2021.03.12","14","59","","","","14","","","","","1","14","59 Pahala kotasa deke kovila"
"khfhzk","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","17","73","0","0","0","14","0","","0","0","2","17","73"
"Central","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","17","73","0","0","0","14","0","","0","0","2","17","73"
"","බදුල්ල          
Haldumulla","","2021.02.07","2","10","","1","","","2","","","","1","1","5 Sri Muttumari Amman"
"","","","","","","","","","","","","","","","","Kovil"
"ඌෙ","2
gJs;is","Tree Fallen","","","","","","","","","","","","","",""
"Cth","Badulla","","","","","","","","","","","","","","",""
"","Badulla","","2021.03.10","","","","1","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"Uva","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","2","10","0","2","0","0","2","","0","0","1","1","5"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","2","10","0","2","0","0","2","","0","0","1","1","5"
"","වකාළඹ","","","","","","","","","","","","","","",""
"Western","3
Moratuwa
nfhOk;G","Lightning","2021.03.11","1","5","","1","","","1","","","","","",""
"Nky;","Colombo","","","","","","","","","","","","","","",""
"khfhzk","","","","","","","","","","","","","","","",""
"බස්නාහිර පලාත","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","1","5","0","1","0","0","1","","0","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","1","5","0","1","0","0","1","","0","0","0","0","0"
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"නැවෙනහිර","Kanthale
4
jp.kiy","High Wind","2021.03.10","2","7","","","","","2","","","","","",""
"පලාත","Trincomalee","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","",""
"Eastern","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","2","7","0","0","0","0","2","","0","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","2","7","0","0","0","0","2","","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","22","95","0","3","0","14","5","","0","0","3","18","78"
