"","","","","","Affected","","","","","","","","","","","","",""
"","","","","","","","","","","","Damaged","","","","","","",""
"","","","","","","","","තුවාලවු","අතුරුදහ","","","","","","","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","","",""
"","","","","","","","මිය යෑම්","","","","","","","","","","",""
"පළාත","","","ආපදාව","mdu;j;jk;","","","","fhakil","පුද්ගලයින්","","","කුඩා හා මධය පරිමාණ","","","","","",""
"","","","","","","","kuzq;f","","","","","","ඉතා වැදගත් යටිතල","","ආරක්ිත","","",""
"#
khfhzk;","","","mdHj;jk","Muk;gpj;j","","","","e;NjhH","fhzhky;","","","වයාපාරික ස්ත්‍රථාන","","","","","",""
"","","","","","","","s;","","","","","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන","","",""
"Province","","","Disaster","jpfjp    Date","","","","","NghNdhH","","","சிறிய,","","","","","පවුේ",""
"","","","","","පවුේ","","Deaths","","","පූර්ණ","අර්ධ හානි","","","","","","",""
"","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","","of commenced","","පුද්ගලයින්","","Injured","Missing","","","நடுத்தர,","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"","","","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","நிறுவனங் களின்","","","","","",""
"","மாவட்டம்","gpuNjr nra.gp     DS","","","","egHfs;","","People","People","","","","fl;likg;Gf;fs;","","vz;zpf;if","","FLk;gq;f","egHfs;"
"","","","","","FLk;gq;fs;","","","","","KOik","T","சேதங் கள்","","","","","",""
"","District","Division","","","","People","","","","","","","Damages to","","No. of","","s;","Persons"
"","","","","","Families","","","","","Fully","Partially","Small, Medium,","","","","","",""
"","","","","","","","","","","","","","critical","","Safety","","Families",""
"","","","","","","","","","","","","Enterprises","","","","","",""
"","","","","","","","","","","","","","Infrastructure","","Locations","","",""
"","","","","","","","","","","","","Damages","","","","","",""
"","","Mannar Town","","","831","3050","","","","","7","2","","","","","",""
"","","Nanaddan","","","133","343","","","","","28","","","","","","",""
"","මන්නාරම","","","","","","","","","","","","","","","","",""
"1","kd;dhH","Musali","(Burevi) Cyclone","2020.12.02","16","39","","","","","2","","","","","","",""
"","Mannar","","","","","","","","","","","","","","","","",""
"","","Manthai West","","","907","3294","","","","","14","","","","","","",""
"","","Madhu","","","340","1058","","","","1","21","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2227","7784","0","0","0","1","72","2","","0","","0","0","0"
"","","Karaveddy","","2020.12.01/02","678","2299","","","","7","60","16","","3","","","",""
"","","Chankanai","","2020.12.01/02","1410","4784","1","1","","61","218","357","","2","","","",""
"","","Tellippalai","","","319","1134","","","","","24","","","","","","",""
"","","Jaffna","","","2969","9787","","","","","2","3","","","","4","78","270"
"","","Sandilippay","","","2291","8367","","","","","123","11","","","","1","16","61"
"","","Maruthankerny","","","408","1258","","","","","33","2","","","","","",""
"","යාපනය","Chavakachcheri","","","2574","8708","1","","","6","791","1","","","","6","80","291"
