"","","2022.10.18 / 19","4","20","","","","","4","","","","",""
"","Heavy Rain & Cutting","","","","","","","","","","","","",""
"","Failure","","","","","","","","","","","","",""
"Pujapitiya","","2022.10.18","1","4","","","","","1","","","","",""
"","Heavy Rain & Wind","2022.10.19","1","4","","","","","1","","","","",""
"Udunuwara","","","1","4","","","","","1","","","","",""
"","","2022.10.17","","","","","","","","","","","",""
"Hatharaliyadda","Heavy Rain & Wind","","1","3","","","","","1","","","","",""
"","","2022.10.20","1","3","","","","","1","","","","",""
"11
නුවර/fz;b/Kandy","","","","","","","","","","","","","",""
"Kundasale","Hravy Rain","","1","3","","","","","1","","","","",""
"Udapalatha","Tree Fallen","","","","1","","","","","","","","",""
"","","2022.10.19","","","","","","","","","","","",""
"","Drowning","","","","","","1","","","","","","",""
"Gangawatakorale","","","","","","","","","","","","","",""
"","Heavy Rain & Wind","2022.10.21","1","7","","","","","1","","","","",""
"Deltota","Tree Fallen","2022.10.20","1","5","","","","","1","","","","",""
"Doluwa","Heavy Rain & Wind","2022.10.21","1","1","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","13","54","1","0","1","0","13","0","0","0","0","0"
"","","2022.10.19","1","4","","","","","1","","","","",""
"","Cutting failure","","","","","","","","","","","","",""
"","","","4","18","","","","","4","","","","",""
"Nuwaraeliya","","","","","","","","","","","","","",""
"","Landslide","2022.10.21","5","26","","","","","5","","","","",""
"","Tree Fallen","","1","6","","","","","1","","","","",""
"","Fire","","1","5","","","","","1","","","","",""
"නුවරඑලිය/Etnuypa","","","","","","","","","","","","","",""
"12","","2022.10.19","","","","","","","","","","","",""
"h/ Nuwara Eliya/ /","","","","","","","","","","","","","",""
"","","","1","2","","","","","1","","","","",""
"Kothmale","Heavy Rain","","","","","","","","","","","","",""
"","","","1","5","","","","","1","","","","",""
"","","2022.10.21","","","","","","","","","","","",""
"","Landslide","","1","2","","","","","1","","","","",""
"","Cutting Failure","2022.10.19","2","5","","","","","2","","","","",""
"Ambgamuwa","","","","","","","","","","","","","",""
"","Landslide","2022.10.21","3","8","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","20","81","0","0","0","0","19","0","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","33","135","1","0","1","0","32","0","0","0","0","0"
"කුරු ෑෙල","","","","","","","","","","","","","",""
"13
Pannala
FUdhfy;","Drowning","2022.10.21","","","1","","","","","","","","",""
"Kurunegala","","","","","","","","","","","","","",""
