"","","","","","","","Persons","Fully","","Medium, Enterprises","","","","Nos","","",""
"","","","Families","","","","","","y","","","critical","","","","",""
"","","","","","","","","","","Damages","","","","","","",""
"","","","","","","","","","","","","Infastructure","","","","",""
"1 Mulaitiuv","","2018.05.19/20","19","64","0","0","0","1","7","","0","","0","","0","0","0"
"Kandy
2","","2018.05.17/21","441","1913","0","7","0","7","187","","2","","1","","1","9","45"
"Nuwaraeliya
3","","2018.05.20/21","585","2408","1","0","0","8","244","","0","","0","","5","152","495 One person death Due to  Drowning"
"Badulla","","","204","828","2","4","0","0","204","","1","","0","","0","0",""
"4","","2018.05.09/14/20/21","","","","","","","","","","","","","","","0 Two persons death Due to  Tree Fallen"
"5
Kegalla","","","1581","5986","3","3","0","6","904","","9","","0","","0","0","0 Three persons death Due to Tree"
"","","2018.05.20","","","","","","","","","","","","","","","fallen/Cutting Failure & Drowning"
"","","","","","","","","","","","","","","","","","Two persons death Due to"
"Rathnapura
6","","","9072","35376","2","4","0","19","562","","0","","0","","1","1","7"
"","","2018.05.19/21","","","","","","","","","","","","","","","Drowning and Collapse of a wall"
"7 Galle","","2018.05.19","502","1964","1","1","0","10","239","","20","","0","","0","0","0 One person death Due to  Drowning"
"8","","","","","","","","","","","","","","","","",""
"Kalutara","","2018.05.20","1580","6147","2","0","0","8","225","","5","","0","","2","18","49 Two persons death Due to  Drowning"
"","Flood","","","","","","","","","","","","","","","","One person death Due to Cutting"
"9","/Lightning/","","","","","","","","","","","","","","","","Failure & Two Persons death due"
"Kurunegala","Cutting","2018.05.20","3604","12386","3","3","0","27","201","","86","","2","","2","26","to Drowning 
132"
"","Failure","","","","","","","","","","","","","","","","Two  Persons death Due to"
"10","","","","","","","","","","","","","","","","","Lightning & One death Due to"
"Puttalam","","2018.05.21","8908","32266","3","0","0","53","686","","169","","96","","13","258","Drowning
841"
"11 Monaragala","","2018.05.21","14","55","1","0","0","0","13","","0","","0","","0","0","0 One person death Due to High wind"
"12 Matara","","2018.05.21","132","467","0","0","0","5","127","","0","","0","","0","0","0"
"13 Hambantota","","2018.05.21","46","139","0","0","0","2","44","","0","","2","","0","0","0"
"14  Batticaloa","","2018.05.21","0","0","1","0","0","0","0","","0","","0","","0","0","0 One  Person death Due to  Drowning"
"15 Gampaha","","2018.05.21","755","2760","4","0","0","8","658","","0","","0","","1","21","79 Four  Persons death Due to  Drowning"
"16 Matale","","2018.05.21","72","269","0","0","0","0","69","","1","","0","","0","0","0"
