"Ganga Ihala Korale
Tree Fallen","2022.10.03","1","6","","","","","1","","","","",""
"නුවර                
Meda Dumbara
Rock Fallen","2022.10.03","1","2","","","","","1","","","","",""
"11
fz;b","","","","","","","","","","","","",""
"මධ්‍යම පලොත","","","","","","","","","","","","",""
"Akurana
Kandy","Heavy Rain & Wind
2022.10.13","1","5","","","","","1","","","","",""
"kj;jpa","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"Harispaththu","Heavy Rain & Wind
2022.1014","1","5","","","","","1","","","","",""
"Central","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","4","18","0","0","0","0","4","0","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","4","18","0","0","0","0","4","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","14309","56630","3","2","0","5","207","9","1","36","1660","5383"
"","","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
