"Mundalama","387","1420","","","","","1","","","","",""
"Kalpitiya","210","871","","","","","","","","","",""
"පුත්තලම","","","","","","","","","","","",""
"11","","","","","","","","","","","",""
"Gj;jsk;  Puttalam","","","","","","","","","","","",""
"Flash Flood
Wanathawilluwa","2023.12.07-19
100","291","","","","","5","","","","",""
"වයඹ පලාත","","","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","",""
"Arachchikattuwa","174","615","","","","","","","","","",""
"North Western","","","","","","","","","","","",""
"Nawagatthegama","18","56","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","889","3253","0","0","0","0","6","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","889","3253","0","0","0","0","6","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","9213","29805","0","1","0","9","164","1","0","13","213","737"
