"මුලතිව්","","","","","","","","","","","",""
"Thunukkai 
දැඩි සුලග","2018.05.20
8","22","","","","","","","","","",""
"1
Ky;iyj;jPT","","","","","","","","","","","",""
"Puthukkudiyriuppu
fLk; fhw;W  High","2018.05.22
4","12","","","","","4","","","","",""
"Mulaitivu","","","","","","","","","","","",""
"Oddusuddan
Wind","2018.05.22
4","15","","","","1","3","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","19","64","0","0","0","1","7","0","0","0","0","0"
"Delft","1031","3071","","","","","","","","","",""
"Velanai","2721","9508","","","","","","","","","",""
"Kaits","2147","7293","","","","","","","","","",""
"Kareinagur","3559","10658","","","","","","","","","",""
"Jaffna","40","178","","","","","","","","","",""
"Nallur","319","1101","","","","","","","","","",""
"යාපනය 
Kopai","1775","6415","","","","","","","","","",""
"2
Drought
Chekanai
aho;g;ghzk;","1528","5114","","","","","","","","","",""
"Sandilipai
Jaffna
උතුරු","1635","6253","","","","","","","","","",""
"Uduvil
පලාත/tl","583","2288","","","","","","","","","",""
"Telippalay
khfhzk;/","1755","5644","","","","","","","","","",""
"Chawakachcheri
Northen/","11640","47198","","","","","","","","","",""
"Karaweddi","674","2124","","","","","","","","","",""
"Point pedro","300","990","","","","","","","","","",""
"Maruthankerny","697","2308","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","30404","110143","0","0","0","0","0","0","0","0","0","0"
"Vengalacheddikulam","2018.03.14
635","2945","","","","","","","","","",""
"වව්නියාව tTdpah","","","","","","","","","","","",""
"3
Drought
Vavuniya North","2018.04.09
115","446","","","","","","","","","",""
"Vavuniya","","","","","","","","","","","",""
"Vavuniya South","2018.05.05
78","257","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","828","3648","0","0","0","0","0","0","0","0","0","0"
"Mannar Town
Fire
මන්නාරම","2018.05.28
1","5","","","","1","","","","","",""
"4","","","","","","","","","","","",""
