"","","","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","","",""
"","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","","tPLfs; Houses","","Other Damages","","miktplk; Safe Location","","",""
"","","","","","","","","තුවාලවු","අතුරුදහ","","","","","","","","",""
"","","","","","","","","","","","Damaged","","","","","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","","",""
"","","","","mdu;j;jk;","","","මිය යෑම්","","පුද්ගලයින්","","","","කුඩා හා මධය","","","","",""
"","","","ආපදාව","","","","","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","","kuzq;f","fhakil","fhzhky;","","","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත","","",""
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","","s;","e;NjhH","NghNdhH","","","","","පහසුකම් වලට වූ 
ස්ත්‍","රථාන","පවුේ","",""
"Province","","","","","","","","","","පූර්ණ","","ස්ත්‍","රථාන சிறிய,","","","","","Remarks"
"","","ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","දිස්ත්‍රික්කය","","","","","","","","","හානි","","","நிறுவனங்களின்","","","","",""
"","","","","commenced","","","","Injured","Missing","","gFjpasT","","","fl;likg;Gf;fs;","vz;zpf;i","","egHfs;",""
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","","","","","","FLk;gq;f","",""
"","மாவட்டம் District","","","","","","","People","People","KOik","","","சேதங்கள்; Small,","","","","",""
"","","","","","Families","People","","","","","Partially","","","Damages to","f   No.","s;","Persons",""
"","","Division","","","","","","","","Fully","","","","","","","",""
"","","","","","","","","","","","","","Medium,","critical","of Safety","Families","",""
"","","","","","","","","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","","","","","","","","Damages","","","","",""
"","ගම්පහ","","","","","","","","","","","","","","","","","Drinking water is"
"","","","","2024.02.26 -","","","","","","","","","","","","","",""
"","fk;g`h      
1","Diwulapitiya","Drought","","2487","7461","","","","","","","","","","","","distributing for"
"","","","","2024.04.08","","","","","","","","","","","","","","drought areas"
"","Gampaha","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","2487","7461","0","0","0","","0","0","0","0","0","0","0",""
"Western","","","","","","","","","","","","","","","","","",""
"Nky; khfhzk;","කළුතර","","","","","","","","","","","","","","","","",""
"","","","High Wind / Tree","","","","","","","","","","","","","","",""
"බස්නාහිර පලාත","2
fSj;Jiw","Panadura","","2024.04.16","","","","","","","","2","","","","","",""
"","","","Fallen","","","","","","","","","","","","","","",""
"","Kalutara","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","0","0","0","0","0","","0","2","0","0","0","0","0",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","2487","7461","0","0","0","","0","2","0","0","0","0","0",""
"","","Warakapola","Drought","2024.03.11","56","271","","","","","","","","","","","",""
"","","Ruwanwella","Drought","2024.03.11","110","550","","","","","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","","","","","Drinking water is"
"","","Yatiyanthota","Drought","2024.03.14","80","289","","","","","","","","","","","",""
"","Nffhiy     
3","","","","","","","","","","","","","","","","","distributing for"
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","","","",""
"","","Dareniyagala","Drought","2024.03.17","95","394","","","","","","","","","","","","drought areas"
"","Kegalle","","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"","","Dehiovita","Drought","2024.03.19","160","672","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"","","Galigamuwa","Drought","2024.03.18/19","175","637","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","676","2813","0","0","0","","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","676","2813","0","0","0","","0","0","0","0","0","0","0",""
"","බදුල්ල","","","","","","","","","","","","","","","","","Drinking water is"
"","4
gJs;is","Hali Ela","Drought","2024.03.31","50","190","","","","","","","","","","","","distributing for"
"ඌෙ","","","","","","","","","","","","","","","","","","drought areas"
"","Badulla","","","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","50","190","0","0","0","","0","0","0","0","0","0","0",""
"Uva","","","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","50","190","0","0","0","","0","0","0","0","0","0","0",""
"","අනුරාධපුර","","","","","","","","","","","","","","","","",""
