"","","Arachchikattuwa","","","19","64","","","","","18","2","1","","","",""
"","","Mundalama","","","7","22","","","","","5","2","","","","",""
"","","Mahakubukkadawala","","","2","8","","","","","1","1","","","","",""
"","","Pallama","","","1","4","","","","","1","","","","","",""
"","","Chillaw","","","149","585","","","","","98","8","3","","","",""
"","පුත්ත඼ම","Mahawewa","","","83","305","","","","","72","11","2","","","",""
"ලයඹ ප඼෈ත","3
Gj;jsk","Nattandiya","High Wind","2019.07.18","36","141","","","","","33","3","2","","","",""
"tlNky;","Puttalam","","","","","","","","","","","","","","","",""
"","","Wennappuwa","","","17","60","","","","","16","1","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","","Dankotuwa","","","5","19","","","","","2","3","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","","Karuwalagaswewa","","","1","4","","","","","1","","","","","",""
"","","Puttalama","","","1","4","","","","","1","","","","","",""
"","","Kalpitiya","","","1","5","","","","","1","","","","","",""
"","","Madampe","","","8","30","","","","","7","1","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","","330","1251","0","0","0","0","256","32","8","0","0","0",""
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","","330","1251","0","0","0","0","256","32","8","0","0","0",""
"","","","","2019.07.18","3","9","","","","","4","","","1","1","","2 Perakumpura Temple"
"","","","Landslide","","","","","","","","","","","","","",""
"","","","","2019.07.19/21","3","14","","","","","2","","","","","",""
"","","","","2019.07.18","3","15","","","","","3","","","","","",""
"","","","High Wind","2019.07.19","11","47","","","","","11","","","","","",""
"","","Nuwara Eliya","","","","","","","","","","","","","","",""
"","","","","2019.07.20/21","7","25","","","","","7","","","","","",""
"","","","","2019.07.18","127","596","2","","","","73","","","","","",""
"","","","","","","","","","","","","","","","","","Firham Child Care"
"","","","Flood","","","","","","","","","","","","","",""
"","","","","2019.07.19","12","57","","","","","11","","","2","8","33","Centre,Dayton Line"
"","","","","","","","","","","","","","","","","","Hall"
"","","","High Wind","2019.07.19","13","62","","","","","16","","","","","",""
"","","Walapane","","","","","","","","","","","","","","",""
"","නුලරඑලිය","","Tree Fallen","2019.0718","6","25","","2","","","5","","","","","",""
"","4
Etnuypah","","","","","","","","","","","","","","","",""
"","","","High wind","2019.07.19","4","16","","","","","4","","","","","",""
"","Nuwara Eliya","Haguranketha","","","","","","","","","","","","","","",""
"","","","Rock fallen","2019.07.22","1","5","","","","","1","","","","","",""
"","","","Flood","2019.07.18","76","298","","","","","","","","","","","Panmoor Pre School"
"","","","","2019.07.18","5","18","","","","","5","","","","","",""
"","","","High Wind","","","","","","","","","","","","","",""
"","","Ambagamuwa","","2019.07.19","22","85","","","","","22","","","1","5","","18 Kuilwatte Child care"
"","","","","","","","","","","","","","","","","","Centre"
"","","","","2019.07.18","1","5","1","","","","1","11","","","","",""
"","","","Cutting Faliure","","","","","","","","","","","","","",""
"","","","","2019.07.19","3","10","","","","","3","","","","","",""
"","","","Landslide Risk","2019.07.19","3","14","","","","","","","","","","",""
"","","","Tree Fallen","2019.07.18","3","15","","","","","3","","","","","",""
"මධයම ප඼෈ත","","","","2019.07.21","1","5","","","","","1","","","","","",""
"","","Kotmale","High Wind","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","2019.07.19","33","146","","","","","32","","","","","",""
"Central","","","Heavy Rain","2019.07.20","4","15","","","","","4","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","","341","1482","3","2","0","0","208","11","0","4","14","53",""
"","","Kundasale","","2019.07.18","1","1","1","","","","","","","","","",""
"","","Paathahewaheta","","2019.07.18","6","21","","","","","6","","","","","",""
"","","Panwila","","2019.07.18","1","6","","","","","1","","","","","",""
"","","Akurana","","2019.07.19/20","8","35","","","","","8","","","","","",""
"","","Thumpane","","2019.07.18","3","12","","","","","3","","","","","",""
"","","Delthota","","2019.07.19","1","4","","","","","1","","","","","",""
"","","Ududumbara","","2019.07.18","9","28","","","","","9","","","","","",""
"","","","","2019.07.18","4","13","","","","","4","","","","","",""
"","","Harispattuwa","","","","","","","","","","","","","","",""
"","","","","2019.07.19","6","24","","","","","6","","","","","",""
"","මහනුලර","","","2019.07.18","2","10","","","","","2","","","","","",""
"","5
fz;b","","High Wind","2019.07.19","29","126","","","","","29","","","","","",""
"","","Pasbagekoralaya","","","","","","","","","","","","","","",""
"","Kandy","","","","2","9","","","","","2","","","","","",""
"","","","","2019.07.20","","","","","","","","","","","","",""
"","","","","","8","32","","","","","8","","","","","",""
"","","Minipe","","2019.07.18","313","949","","","","2","308","","","","","",""
"","","Udapalatha","","2019.07.18","7","28","","","","","5","","","","","",""
"","","Gagawatakoralaya","","2019.07.18","2","5","","","","","2","","","","","",""
"","","GangaIhalakorale","","2019.07.18","11","42","","3","","1","10","","","","","",""
"","","Yatinuwara","","2019.07.18","1","1","","","","","1","","","","","",""
"","","","","2019.07.18","6","24","","","","","6","","","","","",""
"","","Udunuwara","","","","","","","","","","","","","","",""
"","","","","2019.07.19","5","21","","","","","5","","","","","",""
"","","Medadumbara","","2019.07.18","5","22","","","","","5","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","","430","1413","1","3","0","3","421","0","0","0","0","0",""
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","","771","2895","4","5","0","3","629","11","0","4","14","53",""
