"","khtl;lk ;","","","","FLk;gq;f","egHfs;","","","","","","","","","","egHfs; 
FLk;gq;",""
"","","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","","if","",""
"","District","","","","s;","People","","People","g","","","","","","","fs; 
Persons",""
"","","","","","","","","","","","Partiall","Small, Medium,","Damages to","","Safety","",""
"","","","","","","","","","People","Fully","","","","","","",""
"","","","","","Families","","","","","","","Enterprises","","","","Families",""
"","","","","","","","","","","","y","","critical","","Location","",""
"","","","","","","","","","","","","Damages","Infastructure","","","",""
"","","","","","","","","","","","","","","","s","",""
"","","Delft","","2018.03.05","1031","3071","","","","","","","","","","",""
"","","Velanai","","2018.04.03","2721","9508","","","","","","","","","","",""
"","","Kaits","","2018.03.06","2147","7293","","","","","","","","","","",""
"","","Kareinagur","","2018.03.04","3559","10658","","","","","","","","","","",""
"","","Jaffna","","2018.03.12","40","178","","","","","","","","","","",""
"","","Nallur","","2018.03.04","319","1101","","","","","","","","","","",""
"","","Kopai","","2018.03.12","1775","6415","","","","","","","","","","",""
"","","Chekanai","Drought","2018.03.12","1528","5114","","","","","","","","","","",""
"","යාපනය","","","","","","","","","","","","","","","",""
"","1
aho;g;ghzk;","Sandilipai","","","1635","6253","","","","","","","","","","",""
"","Jaffna","Uduvil","","","583","2288","","","","","","","","","","",""
"","","","","2018.03.12","","","","","","","","","","","","",""
"","","Telippalay","","","1755","5644","","","","","","","","","","",""
"","","Chawakachcheri","","","11640","47198","","","","","","","","","","",""
"","","Karaweddi","","2018.03.13","674","2124","","","","","","","","","","",""
"","","Point pedro","","","300","990","","","","","","","","","","",""
"","","Maruthankerny","","","697","2308","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","The two fishermen who"
"","","Thelleppalai","High Wind","2018.06.14","4","13","","","2","","2","","","","","","went for fishing are"
"","","","","","","","","","","","","","","","","","missing since 10/06/2018"
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","30408","110156","0","0","2","0","2","0","","0","0","0","0"
"","","Vengalacheddikulam","","2018.03.14","1649","6047","","","","","","","","","","",""
"","වව්නියාව","Vavuniya North","","2018.04.09","115","446","","","","","","","","","","",""
"","","","Drought","","","","","","","","","","","","","",""
"","2
tTdpah","Vavuniya South","","2018.05.05","171","474","","","","","","","","","","",""
"උතුරු","Vavuniya","","","","","","","","","","","","","","","",""
"","","","","2018.07.09","334","1309","","","","","","","","","","",""
"පලාත/tl","","Vavuniya","","","","","","","","","","","","","","",""
"","","","Fire","2018.09.13","1","6","","","","","1","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","",""
"Northen/","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","2270","8282","0","0","0","0","1","0","","0","0","0","0"
"","","Karachchi","","2018.06.03","19368","62365","","","","","","","","","","",""
"","කිලිනනොච්චිය","","","","","","","","","","","","","","","",""
"","","Kandawalai","","","4588","15109","","","","","","","","","","",""
"","3
fpspnehr;rp","","Drought","","","","","","","","","","","","","",""
"","","Poonakary","","2018.04.04","5764","20699","","","","","","","","","","",""
"","Killinochchi","","","","","","","","","","","","","","","",""
"","","Pachchilaipallai","","","3465","11621","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","33185","109794","0","0","0","0","0","0","","0","0","0","0"
"","","","Drought","","12587","43491","","","","","","","","","","",""
"","","Mannar Town","","","","","","","","","","","","","","",""
"","","","Fire","","1","5","","","","1","","","","","","",""
"","මන්නාරම","","","","","","","","","","","","","","","",""
"","","Nanattan","","","3870","12222","","","","","","","","","","",""
"","4
kd;dhH","","","2018.06.20","","","","","","","","","","","","",""
"","","Musali","","","3722","14627","","","","","","","","","","",""
"","Mannar","","Drought","","","","","","","","","","","","","",""
"","","Manthhai West","","","5211","18507","","","","","","","","","","",""
"","","Madhu","","","4031","13316","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","29422","102168","0","0","0","1","0","0","","0","0","0","0"
"","","Mattiempattu","","2018.04.15","390","1961","","","","","","","","","","",""
"","","Puthkudiyiruppu","","2018.03.15","3129","10005","","","","","","","","","","",""
"","මුලතිව්","","","","","","","","","","","","","","","",""
"","","Thunukai","","2018.03.12","222","935","","","","","","","","","","",""
"","5
Ky;iyj;jPT","","Drought","","","","","","","","","","","","","",""
"","","Welioya","","2018.07.15","1996","5168","","","","","","","","","","",""
"","Mulaitivu","","","","","","","","","","","","","","","",""
"","","Manthai East","","2018.08.03","471","2321","","","","","","","","","","",""
"","","Oddusudan","","2018.08.23","1895","6957","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","8103","27347","0","0","0","0","0","0","","0","0","0","0"
