"","Units in mm","","",""
"DATE : 
27-Sep-2025","","","",""
"(  24 hrs ending   at
    8:30 AM  on","28-Sep-2025 )","","",""
"Kelani Ganga Basin (RB 01)","Menik Ganga (RB 26)","","Kala Oya (RB 93)",""
"Castlereigh(CEB)
14.5","Buttala Bridge (HMIS)","NA","Usgala Siyamabalangamuwa (HMIS)","NA"
"Norton(CEB)
12.0","","","Rajanganaya (Res) (HMIS)","NA"
"Maussakelle(CEB)
26.9","Gal Oya (RB 44)","","Kalawewa (Res) (HMIS)","NA"
"Canyon(CEB)
25.6","","","Dambulu Oya(Res) (HMIS)","NA"
"Laxapana(CEB)
8.6","Ampara","0.0","Kandalama (Res) (HMIS)","NA"
"Colombo(ID)
10.0","Senanayaka Samu.(Res)(HMIS)","NA","Dambulu Oya River (HMIS)","NA"
"","Bibile (HMIS)","NA","",""
"Bolgoda Ganga (RB 02)","Inginiyagala(CEB)","0.0","Daduru Oya (RB 99)",""
"Bolgoda Lake(HMIS)
NA","Mahaweli Ganga Basin (RB 60)","","Masspotha","0.0"
"","","","Amunugama","0.0"
"Kalu Ganga (RB 03)","Kotmale(CEB)","0.0","Ethiliyagala","NA"
"","Victoria(CEB)","0.0","Ma Eliya","0.0"
"Kukulegama(CEB)
0.0","Randenigala(CEB)","0.0","Daisy Valley","0.0"
"Halwathura (HMIS)
NA","Rantembe(CEB)","0.0","Diniminiyathanna","0.0"
"Anguruwathota (HMIS)
NA","Bowatenna(CEB)","0.0","Moragaswewa (HMIS)","NA"
"Dela (HMIS)
NA","Ukuwela(CEB)","0.0","Nugawela (HMIS)","NA"
"Magura (Baduraliya) (HMIS)
NA","U.Kothmale(CEB)","2.0","",""
"Malwala (HMIS)
NA","Angamedilla (HMIS)","NA","Maa Oya (RB 102)",""
"Banagoda (HMIS)
NA","Hembarewa (HMIS)","NA","",""
"Watapotha (HMIS)
NA","Calsey Maeliya (HMIS)","NA","Molagoda (HMIS)","NA"
"Paragoda (HMIS)
NA","Ulhitiya (Res) (HMIS)","NA","Hatharaliyadde (HMIS)","NA"
"","Girithale(Res)","NA","Aranayake (HMIS)","NA"
"Benthara Ganga (RB 04)","Parakrama Samu.(Res)","NA","Bolagama Bridge (HMIS)","NA"
"","Minneriya(Res)","NA","",""
"Aviththawa(HMIS)
NA","Kaudulla(Res)","NA","Attanagalu Oya (RB 103)",""
"","Diyabeduma (HMIS)","NA","",""
"Gin Ganga (RB 09)","Ulhitiya Inlet Canal (HMIS)","NA","Attanagalla","1.2"
"","Minipe LB Canal (HMIS)","NA","Algama (HMIS)","NA"
"Lankagama (HMIS)
NA","Moragahakanda (HMIS)","NA","",""
"Deniyaya Bridge (HMIS)
NA","","","",""
"","Yan oya (RB 67)","","Max. Rainfall (CEB)",""
"Nilwala Ganga (RB 12)","","","Canyon(CEB)","26.9"
"","Hurulu Wewa(Res) (HMIS)","NA","",""
"Akuressa (HMIS)
NA","","","Max. Rainfall (HMIS)",""
"Sapugoda (HMIS)
NA","Maha Oya (RB 69)","","",""
"Walawe Ganga (RB 18)","Padawiya Tank (HMIS)","NA","Max. Rainfall (ID)",""
"","","","Ellagawa","13.7"
"Samanalawewa(CEB)(cid:9)
0.0","Malwathu Oya (RB 90)","","",""
"Mau Ara (Res) (HMIS)
NA","","","Notation",""
"Thimbolketiya (HMIS)
NA","Menik Farm (HMIS)","NA","Tr        :-
Traced Rainfall",""
"Udawalawe (Res) (HMIS)
NA","Tissa Wewa(Res) (HMIS)","NA","RB       :-
River Basin",""
"","Nachchaduwa(Res) (HMIS)","NA","MET    :- Department of Meteorology",""
"","","","ID        :-
Irrigation Department",""
"","","","CEB     :-  Ceylon Electricity Board",""
"","","","Res      :-
Reservoir",""
"","","","HMIS  :-
DSWRP Data",""
"","","","NA       :- Not Available",""
"Eng.L.S. Sooriyabandara","","","",""
"Director (Hydrology and Disaster Management)","","","Prepared by :  H.P.S.W.Gunawardhana (H.A)",""
"","","","Checked by :",""
