"","","","","Page 5","","","","","","","","","",""
"Elahera","","","134","466","","","","4","40","","","1","18","65"
"මපොමලොනනරුව 
Thamankaduwa","","","601","2169","","","","","","","","7","495","1780"
"උතුරු  ැද පළොත","","","","","","","","","","","","","",""
"13
nghyd;dWit","Flood","2019.12.21","","","","","","","","","","","",""
"North Central","","","","","","","","","","","","","",""
"Dimbulagala
Polonnaruwa","","","196","591","","","","3","193","","","4","89","244"
"Lankapura","","","5","20","","","","","","","","1","2","9"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","936","3246","0","0","0","7","233","0","0","13","604","2098"
"පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","2208","7587","0","0","0","23","267","0","0","39","1626","5465"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","18840","64608","2","6","1","62","1463","9","0","132","5255","17766"
"","","","","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
