"","மாவட்டம்  
gpuNjr nra.gp      DS","vz;zpf;if","FLk;gq;f","egHfs;","FLk;gq;f","egHfs;","","egHfs;","","People","","","gFjpasT","Minor"
"","","","","","","","FLk;gq;fs;","","","","People","KOik","",""
"","District
Division","No. of","s;","Persons","s;","Persons","","People","","","","","Partially","damage"
"","","","","","","","Families","","","","","Fully","",""
"","","Safety","Families","","Families","","","","","","","","",""
"","","Locations","","","","","","","","","","","",""
"","Dehiowita
High wind","","","","","","1","6","","","","","","1"
"","කෑගල්ල","","","","","","","","","","","","",""
"1","Mawanella
Tree Fallan","2020.05.22","","","","","1","5","","","","","1",""
"","Nffhiy   Kegalle","","","","","","","","","","","","",""
"","Kegalle
 Cutting Failure","","","","","","1","4","","","","","1",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","0","0","0","0","0","3","15","0","0","0","0","2","1"
"සබරගමුව පලොත","","","","","","","","","","","","","",""
"","Ayagama","1","3","7","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"","රත් පුර","","","","","","","","","","","","",""
"Sabaragamuwa","Rathnapura
Flood/ High wind/","1","3","11","","","","","","","","","",""
"2",",uj;jpdGhp","2020.05.22","","","","","","","","","","","",""
"","Cutting Failure 
Balangoda","2","17","73","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","","",""
"","Pelmadulla","2","6","26","","","","","","","","","",""
"","","6","29","117","0","0","0","0","0","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","6","29","117","0","0","3","15","0","0","0","0","2","1"
"","Point Pedro","","","","","","1","5","","","","","1",""
"","Karainagar","","","","","","2","4","","","","","2",""
"","Uduvil
යොප ය","","","","","","2","4","","","","1","1",""
"3","High wind","2020.05.22","","","","","","","","","","","",""
"","aho;g;ghzk; Jaffna
Marurhankerny","","","","","","11","34","","","","","11",""
"","Sandilippai","","","","","","9","36","","","","","9",""
"","Nllur","","","","","","2","5","","","","","2",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","0","0","0","0","0","27","88","0","0","0","1","26","0"
"උතුරු පලොත tl","","","","","","","","","","","","","",""
"","කිලින ොච්චිය","","","","","","","","","","","","",""
"khfhzk Northen
4","Pachchilaipalli
High wind
fpspnehr;rp","2020.05.22","","","","","11","31","","","","","8",""
"","Killinochchi","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","0","0","0","0","0","11","31","0","0","0","0","8","0"
"","මුලතිව්","","","","","","","","","","","","",""
"5","Maritimepattu
High wind
Ky;iyj;jPT","2020.05.22","","","","","4","6","","","","","4",""
"","Mulaitivu","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","0","0","0","0","0","4","6","0","0","0","0","4","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","0","0","0","0","0","42","125","0","0","0","1","38","0"
"","නුවර","","","","","","","","","","","","",""
"6
මධ්‍යම පලොත","Pujapitiya
Heavy Rain
fz;b","2020.05.22","","","","","1","4","","","","","1",""
"kj;jpa khfhzk;","Kandy","","","","","","","","","","","","",""
"Central","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","0","0","0","0","0","1","4","0","0","0","0","1","0"
