"","Kegalle","","","","","","","","","","","","","","","",""
"","","Aranayake","Lanslide Risk","2022.11.03","2","10","","","","","","","","","","",""
"","","","Cutting Faliure","2022.10.31","1","5","","","","","1","","","","","",""
"","","Dehiowita","","","","","","","","","","","","","","",""
"","","","Heavy Rain","2022.11.07","1","2","","","","","1","","","","","",""
"","","","Collapses of wall","2022.11.05","1","1","","","","","1","","","","","",""
"","","Kegalle","","","","","","","","","","","","","","",""
"","","","Tree Fallen","2022.11.04","1","3","","","","","1","","","","","",""
"","","","Lightning","2022.11.04","7","25","","","","","7","","","","","",""
"","","Mawanella","Rock Fallen","2022.11.05","1","6","","","","","1","","","","","",""
"","","","Heavy Rain","2022.11.06","2","10","","","","","2","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","42","171","0","0","0","0","39","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","80","299","0","0","0","0","73","0","0","0","0","0",""
"","","Welimada","Heavy Rain &","","2","9","","","","","2","","","","","",""
"","","Bandarawela","Highwind","","7","27","1","","","","5","","","","","",""
"","","","Lightning & Cutting","","","","","","","","","","","","","","Nahawilawatta Day Care"
"","","Ella","","","9","38","","","","","8","","","1","3","15",""
"","","","Failture","","","","","","","","","","","","","","Center"
"","","Uva Paranagama","Cutting Faliure","","4","17","","","","","2","","","","","",""
"","","Haliela","Heavy Rain","","3","8","1","","","","2","","","","","",""
"","","Meegahakiula","High wind","","1","3","","","","","1","","","","","",""
"","","","","","","","","","","","","","","","","","1. Puhulwatta Day Care"
"","බදුල්ල","","Landslide Risk &","","","","","","","","","","","","","","Center"
"","","Passara","","","91","361","","","","","6","","","2","15","55",""
"3","gJs;is","","Cutting faliture","2022.10.31 /11.07","","","","","","","","","","","","","2.Kanawarella West"
"ඌව","","","","","","","","","","","","","","","","",""
"","Badulla","","","","","","","","","","","","","","","","Community Hall"
"Cth khfhzk","","","","","","","","","","","","","","","","",""
"","","Haldunmulla","Lightning","","1","4","","","","","1","","","","","",""
"; Uva","","","","","","","","","","","","","","","","",""
"","","Kandakatiya","Lightning","","1","3","","","","","1","","","","","",""
"","","Lunugala","Heavy Rain/Wind","","2","9","1","","","","1","","","","","",""
"","","Soranatota","Heavy Rain/Wind","","4","20","","","","","4","","","","","",""
"","","Haputale","Cutting faliture","","3","11","","","","","3","","","","","",""
"","","Rideemaliyadda","Lightning","","4","17","","","","","4","","","","","",""
"","","Badulla","Cutting faliture","","2","5","","","","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","134","532","3","0","0","0","40","0","0","3","18","70",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","134","532","3","0","0","0","40","0","0","3","18","70",""
"","","Ganga Ihala Korale","Cutting Faliure","2022.10.31","1","4","","","","","1","","","","","",""
"","","","","2022.10.20","1","4","","","","","1","","","","","",""
"","","Thumpane","Heavy Rain &","","","","","","","","","","","","","",""
"","","","","","1","5","","","","","1","","","","","",""
"","","","Highwind","","","","","","","","","","","","","",""
"","","Udunuwara","","","2","6","","","","","2","","","","","",""
"","","","","2022.11.01","","","","","","","","","","","","",""
"","","","Drowning","","","","1","","","","","","","","","",""
"","","Delthota","","","","","","","","","","","","","","",""
"","","","Heavy Rain","","1","7","","","","","","","","","","",""
"","","","","2022.11.06","4","18","","","","","","","","","","",""
"","","","Landslide Risk","","","","","","","","","","","","","",""
"","","","","","2","11","","","","","","","","","","",""
"","","Ganga Wata Koralaya","Flood","2022.11.05","3","14","","1","","","3","","","","","",""
"","","","","","6","25","","","","","6","","","","","",""
"","","","","2022.11.05","4","22","","","","","3","","","","","",""
"","නුවර","","","","","","","","","","","","","","","",""
"4","fz;b","Minipe","","2022.11.05","1","3","","","","","1","","","","","",""
"","Kandy","","","","","","","","","","","","","","","",""
"","","Doluwa","","2022.11.03","1","5","","","","","1","","","","","",""
"","","Pathadumbara","","2022.11.05","4","23","","","","","3","","","","","",""
"","","","Heavy Rain/ Tree","","","","","","","","","","","","","",""
"","","Harispaththuwa","","2022.11.05/06","3","15","","","","","3","","","","","",""
"","","","Fallen","","","","","","","","","","","","","",""
"","","Poojapitiya","","2022.11.06/07","3","13","","","","","3","","","","","",""
"","","Kundasale","","2022.10.30-11.06","5","21","","","","","3","","","","","",""
"","","","","2022.10.31","1","4","","","","","1","","","","","",""
"","","Udapalatha","","","","","","","","","","","","","","",""
"","","","","2022.11.06","1","2","","","","","1","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","",""
"","","Ududumbara","","2022.10.28","1","2","","","","","1","","","","","",""
"kj;jpa","","","","","","","","","","","","","","","","",""
"khfhzk; Central","","Yatinuwara","Cutting Faliure","2022.11.06","3","12","","","","","3","","","","","",""
