"","","","Rock Fallen      ගල්","","","","","","","","","","","",""
"","","Ehaliyagoda","2018.05.12","16","52","","","","","","","","1","3","10 Safe Location - Karandna"
"","","නපරලීම්","","","","","","","","","","","","","k. Viduhala"
"","රත් පුර","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","R/Madyakanda Tamil"
"","6
,uj;jpdGhp","","","","","","","","","","","","","","School & Madyakanda"
"","","","Heavy Rain and","","","","","","","","","","","",""
"","Rathnapura","Balangoda","2018.06.11","49","187","","","","","30","","","4","19","Estate Hospital / uper 
81"
"සබරගමුව","","High Wind","","","","","","","","","","","","","Balangoda quarters / Uper"
"පලාත/rg;uf","","","","","","","","","","","","","","","Balangoda church"
"Kt/","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","65","239","0","0","0","0","30","0","0","5","22","91"
"Sabaragam","","","","","","","","","","","","","","",""
"uwa/","කෑගල්ල","","","","","","","","","","","","","",""
"","7
Nffhiy","Aranayaka
Drowning","2018.07.14","","1","","","1","","","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","0","1","0","0","1","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","65","240","0","0","1","0","30","0","0","5","22","91"
"","","Galgamuwa","","516","1849","","","","","","","","","",""
"","","Ambanpola","","1687","5243","","","","","","","","","",""
"වයඹ","කුරුණෑගල","","","","","","","","","","","","","",""
"පලාත/tlNk","8
FUdhfy;","Drought
Giribawa","2018","2523","7063","","","","","","","","","",""
"y;","Kurunegala","","","","","","","","","","","","","",""
"","","Mahawa","","1166","3461","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","",""
"","","Ahatuwewa","","1335","3319","","","","","","","","","",""
"North","","","","","","","","","","","","","","",""
"Western/","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","7227","20935","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","7227","20935","0","0","0","0","0","0","0","0","0","0"
"","නපොනලොන් රුව","","","","","","","","","","","","","","207 - Manampitiya GN"
"","","Dimbulagala","","555","1977","","","","","","","","","",""
"","9
nghyd;dWit","Drought","2018.06.01","","","","","","","","","","","","Divition"
"","Polonnaruwa","Welikanda","","830","2914","","","","","","","","","",""
"උතුරුමැද","","","","","","","","","","","","","","",""
"පලාත/tlkj;","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1385","4891","0","0","0","0","0","0","0","0","0","0"
"jpa","","","","","","","","","","","","","","",""
"","අනුරාධපුර","Mahavilachchiya","","2949","8810","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","",""
"","10
m.Guk;","Drought
Nochchiyagama","2016.09.20","395","1215","","","","","","","","","",""
"North","","","","","","","","","","","","","","",""
"","Anuradhapura","Kahatagasdigiliya","","559","1457","","","","","","","","","",""
"Central/","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","3903","11482","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","5288","16373","0","0","0","0","0","0","0","0","0","0"
"","","","Missing in the","","","","","","","","","","","",""
"","","Pottuvil","2018.06.02","3","5","","","3","","","","","","",""
"","","Marine","","","","","","","","","","","","",""
"","","Thirukkovil","2018.01.05","578","1855","","","","","","","","","",""
"","","Alayadivembu","2018.03.26","955","3173","","","","","","","","","",""
"","අම්පාර","","","","","","","","","","","","","",""
"","","Pottuvil","2018.04.04","1229","4088","","","","","","","","","",""
"","11
mk;ghiw","Drought","","","","","","","","","","","","",""
"","Ampara","Navithanveli","2018.05.11","2475","7855","","","","","","","","","",""
"","","Lahigala","2018.06.21","455","1384","","","","","","","","","",""
"","","Damana","2018.07.02","556","1983","","","","","","","","","",""
"","","Ampara","","230","928","","2","","10","220","","","","",""
"","","High Wind","2018.08.02","","","","","","","","","","","",""
"","","Samanthurai","","33","157","","","","3","28","2","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","6514","21428","0","2","3","13","248","2","0","0","0","0"
"ැනග හිර","","","","","","","","","","","","","","",""
"","","Eravur pattu","","3268","10879","","","","","","","","","",""
"පලාත/fpof;F","","","","","","","","","","","","","","",""
"","මඩකලපුව","Munmunai South west","","2826","9414","","","","","","","","","",""
"/Eastern","","","","","","","","","","","","","","",""
"","12
kl;lf;fsg;G","Munmunai Pattu","Drought
2018.07.25","11624","34775","","","","","","","","","",""
"","Batticaloa","","","","","","","","","","","","","",""
"","","Koralaipattu west","","106","337","","","","","","","","","",""
"","","Koralaipattu central","","583","2034","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","18407","57439","0","0","0","0","0","0","0","0","0","0"
"","","Town & Gravets","2018.05.10","20","72","","","","","","","","","",""
"","ත්‍රීකුණාමලය","Muttur","2018.04.20","450","1650","","","","","","","","","",""
"","jp.kiy 
13","Drought
Kuchchaveli","2018.04.18","51","127","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","",""
"","","Kinniya","2018.07.01","3249","8919","","","","","","","","","",""
"","","Seruvila","2018.04.11","331","907","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","4101","11675","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","29022","90542","0","2","3","13","248","2","0","0","0","0"
"","හම්බන්නතොට/`k;g","Ambalanthota
Drowning","2018.08.05","1","1","1","","","","","","","","",""
"","14
he;Njhl;il","","","","","","","","","","","","","",""
"","/Hambantota","","","","","","","","","","","","","",""
